"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
164,"36","TDWG Level 4 code","native"
164,"TAIOO","TDWG Level 4 code","native"
165,"THAOO","TDWG Level 4 code","native"
166,"JAP","TDWG Level 4 code","native"
167,"INDKE","TDWG Level 4 code","native"
168,"NGAOO","TDWG Level 4 code","native"
168,"CAFOO","TDWG Level 4 code","native"
168,"CONOO","TDWG Level 4 code","native"
168,"IVOOO","TDWG Level 4 code","native"
169,"IRNOO","TDWG Level 4 code","native"
170,"MDGOO","TDWG Level 4 code","native"
171,"CHAOO","TDWG Level 4 code","native"
171,"CMNOO","TDWG Level 4 code","native"
171,"CYPOO","TDWG Level 4 code","native"
171,"EGYOO","TDWG Level 4 code","native"
171,"INDBI","TDWG Level 4 code","native"
171,"IRQOO","TDWG Level 4 code","native"
171,"KENOO","TDWG Level 4 code","native"
171,"NGAOO","TDWG Level 4 code","native"
171,"NGROO","TDWG Level 4 code","native"
171,"PAKOO","TDWG Level 4 code","native"
171,"PALIS","TDWG Level 4 code","native"
171,"SAUOO","TDWG Level 4 code","native"
171,"SIEOO","TDWG Level 4 code","native"
171,"SUDOO","TDWG Level 4 code","native"
171,"TVLNP","TDWG Level 4 code","native"
172,"CHAOO","TDWG Level 4 code","native"
173,"REUOO","TDWG Level 4 code","native"
174,"CONOO","TDWG Level 4 code","native"
175,"INDKE","TDWG Level 4 code","native"
176,"CONOO","TDWG Level 4 code","native"
177,"CONOO","TDWG Level 4 code","native"
178,"CBDOO","TDWG Level 4 code","native"
178,"TAIOO","TDWG Level 4 code","native"
179,"ALDOO","TDWG Level 4 code","native"
179,"CMNOO","TDWG Level 4 code","native"
179,"CONOO","TDWG Level 4 code","native"
179,"IVOOO","TDWG Level 4 code","native"
179,"NGAOO","TDWG Level 4 code","native"
179,"SIEOO","TDWG Level 4 code","native"
179,"SUDOO","TDWG Level 4 code","native"
180,"CONOO","TDWG Level 4 code","native"
181,"CHAOO","TDWG Level 4 code","native"
182,"INDTN","TDWG Level 4 code","native"
183,"INDKT","TDWG Level 4 code","native"
184,"ZAIOO","TDWG Level 4 code","native"
184,"NGAOO","TDWG Level 4 code","native"
184,"CONOO","TDWG Level 4 code","native"
184,"IVOOO","TDWG Level 4 code","native"
185,"IVOOO","TDWG Level 4 code","native"
185,"CONOO","TDWG Level 4 code","native"
186,"NGAOO","TDWG Level 4 code","native"
186,"CONOO","TDWG Level 4 code","native"
187,"IVOOO","TDWG Level 4 code","native"
187,"CONOO","TDWG Level 4 code","native"
188,"INDWB","TDWG Level 4 code","native"
189,"IVOOO","TDWG Level 4 code","native"
190,"CONOO","TDWG Level 4 code","native"
191,"CONOO","TDWG Level 4 code","native"
192,"CONOO","TDWG Level 4 code","native"
193,"TAIOO","TDWG Level 4 code","native"
194,"INDKT","TDWG Level 4 code","native"
195,"INDTN","TDWG Level 4 code","native"
196,"IND","TDWG Level 4 code","native"
197,"INDKT","TDWG Level 4 code","native"
198,"VICOO","TDWG Level 4 code","native"
199,"NWCOO","TDWG Level 4 code","native"
200,"FIJOO","TDWG Level 4 code","native"
201,"QLDQU","TDWG Level 4 code","native"
202,"36","TDWG Level 4 code","native"
203,"THAOO","TDWG Level 4 code","native"
204,"JAP","TDWG Level 4 code","native"
204,"TAIOO","TDWG Level 4 code","native"
205,"36","TDWG Level 4 code","native"
205,"CHSHK","TDWG Level 4 code","native"
205,"IND","TDWG Level 4 code","native"
205,"JAWOO","TDWG Level 4 code","native"
205,"MLY","TDWG Level 4 code","native"
205,"MLYSI","TDWG Level 4 code","native"
205,"SRLOO","TDWG Level 4 code","native"
205,"SUMOO","TDWG Level 4 code","native"
205,"VIEOO","TDWG Level 4 code","native"
206,"INDKE","TDWG Level 4 code","native"
207,"THAOO","TDWG Level 4 code","native"
207,"IND","TDWG Level 4 code","native"
207,"MLYPM","TDWG Level 4 code","native"
207,"MYAOO","TDWG Level 4 code","native"
207,"CBDOO","TDWG Level 4 code","native"
207,"MLY","TDWG Level 4 code","native"
208,"MLY","TDWG Level 4 code","native"
209,"IND","TDWG Level 4 code","native"
210,"KENOO","TDWG Level 4 code","native"
210,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
211,"INDUP","TDWG Level 4 code","native"
211,"MYAOO","TDWG Level 4 code","native"
212,"CRLPA","TDWG Level 4 code","native"
213,"TAIOO","TDWG Level 4 code","native"
214,"INDKE","TDWG Level 4 code","native"
215,"SRLOO","TDWG Level 4 code","native"
216,"INDKT","TDWG Level 4 code","native"
217,"NSWNS","TDWG Level 4 code","native"
218,"MLY","TDWG Level 4 code","native"
218,"THAOO","TDWG Level 4 code","native"
218,"MLYPM","TDWG Level 4 code","native"
219,"INDGO","TDWG Level 4 code","native"
220,"CHSHK","TDWG Level 4 code","native"
221,"INDMR","TDWG Level 4 code","native"
222,"MLY","TDWG Level 4 code","native"
223,"NSWNS","TDWG Level 4 code","native"
224,"IND","TDWG Level 4 code","native"
224,"INDMR","TDWG Level 4 code","native"
225,"CONOO","TDWG Level 4 code","native"
226,"36","TDWG Level 4 code","native"
226,"VIEOO","TDWG Level 4 code","native"
227,"INDTN","TDWG Level 4 code","native"
228,"INDTN","TDWG Level 4 code","native"
229,"SUDOO","TDWG Level 4 code","native"
229,"CHAOO","TDWG Level 4 code","native"
230,"INDTN","TDWG Level 4 code","native"
231,"CBDOO","TDWG Level 4 code","native"
231,"IND","TDWG Level 4 code","native"
231,"MLY","TDWG Level 4 code","native"
231,"MYAOO","TDWG Level 4 code","native"
231,"THAOO","TDWG Level 4 code","native"
232,"IND","TDWG Level 4 code","native"
233,"NWGPN","TDWG Level 4 code","native"
234,"KENOO","TDWG Level 4 code","native"
235,"PAKOO","TDWG Level 4 code","native"
235,"TAIOO","TDWG Level 4 code","native"
235,"IND","TDWG Level 4 code","native"
236,"SRLOO","TDWG Level 4 code","native"
237,"IND","TDWG Level 4 code","native"
238,"IVOOO","TDWG Level 4 code","native"
238,"CONOO","TDWG Level 4 code","native"
239,"NWCOO","TDWG Level 4 code","native"
240,"ANDAN","TDWG Level 4 code","native"
240,"NCBOO","TDWG Level 4 code","native"
241,"IVOOO","TDWG Level 4 code","native"
241,"CHAOO","TDWG Level 4 code","native"
241,"CONOO","TDWG Level 4 code","native"
242,"SRLOO","TDWG Level 4 code","native"
243,"SRLOO","TDWG Level 4 code","native"
244,"NWCOO","TDWG Level 4 code","native"
245,"CRLPA","TDWG Level 4 code","native"
246,"NWGPN","TDWG Level 4 code","native"
247,"MLY","TDWG Level 4 code","native"
248,"SRLOO","TDWG Level 4 code","native"
249,"NGAOO","TDWG Level 4 code","native"
250,"INDBI","TDWG Level 4 code","native"
250,"MLY","TDWG Level 4 code","native"
251,"INDTN","TDWG Level 4 code","native"
252,"INDKT","TDWG Level 4 code","native"
253,"JAWOO","TDWG Level 4 code","native"
254,"INDKE","TDWG Level 4 code","native"
255,"ASSME","TDWG Level 4 code","native"
256,"THAOO","TDWG Level 4 code","native"
257,"ASSAS","TDWG Level 4 code","native"
257,"INDBI","TDWG Level 4 code","native"
258,"VIEOO","TDWG Level 4 code","native"
258,"SRLOO","TDWG Level 4 code","native"
258,"JAWOO","TDWG Level 4 code","native"
258,"CHSHK","TDWG Level 4 code","native"
258,"INDMR","TDWG Level 4 code","native"
258,"MLY","TDWG Level 4 code","native"
258,"BORBR","TDWG Level 4 code","native"
258,"PHIOO","TDWG Level 4 code","native"
258,"MRN","TDWG Level 4 code","native"
258,"HAW","TDWG Level 4 code","native"
258,"JAP","TDWG Level 4 code","native"
258,"KENOO","TDWG Level 4 code","native"
258,"CRL","TDWG Level 4 code","native"
258,"MAUOO","TDWG Level 4 code","native"
258,"SUMOO","TDWG Level 4 code","native"
258,"36","TDWG Level 4 code","native"
258,"UGAOO","TDWG Level 4 code","native"
258,"TAIOO","TDWG Level 4 code","native"
258,"THAOO","TDWG Level 4 code","native"
