"ID","Reference Type","ReferenceID"
164,"TaxAccRef",369
165,"TaxAccRef",402
166,"TaxAccRef",376
167,"TaxAccRef",246
168,"TaxAccRef",120
169,"TaxAccRef",219
170,"TaxAccRef",414
171,"TaxAccRef",344
172,"TaxAccRef",16
173,"TaxAccRef",426
174,"TaxAccRef",58
175,"TaxAccRef",133
176,"TaxAccRef",58
177,"TaxAccRef",58
178,"TaxAccRef",371
179,"TaxAccRef",120
180,"TaxAccRef",56
181,"TaxAccRef",16
182,"TaxAccRef",304
183,"TaxAccRef",133
184,"TaxAccRef",120
185,"TaxAccRef",58
186,"TaxAccRef",120
187,"TaxAccRef",58
188,"TaxAccRef",269
189,"TaxAccRef",1
190,"TaxAccRef",56
191,"TaxAccRef",58
192,"TaxAccRef",245
193,"TaxAccRef",496
194,"TaxAccRef",99
195,"TaxAccRef",305
196,"TaxAccRef",269
197,"TaxAccRef",126
198,"TaxAccRef",244
199,"TaxAccRef",142
200,"TaxAccRef",203
201,"TaxAccRef",224
202,"TaxAccRef",446
203,"TaxAccRef",405
204,"TaxAccRef",368
205,"TaxAccRef",289
206,"TaxAccRef",191
207,"TaxAccRef",61
208,"TaxAccRef",412
209,"TaxAccRef",103
210,"TaxAccRef",59
211,"TaxAccRef",290
212,"TaxAccRef",379
213,"TaxAccRef",372
214,"TaxAccRef",191
215,"TaxAccRef",89
216,"TaxAccRef",126
217,"TaxAccRef",224
218,"TaxAccRef",61
219,"TaxAccRef",126
220,"TaxAccRef",401
221,"TaxAccRef",191
222,"TaxAccRef",64
223,"TaxAccRef",244
224,"TaxAccRef",67
225,"TaxAccRef",58
226,"TaxAccRef",343
227,"TaxAccRef",100
228,"TaxAccRef",191
229,"TaxAccRef",58
230,"TaxAccRef",191
231,"TaxAccRef",290
232,"TaxAccRef",103
233,"TaxAccRef",220
234,"TaxAccRef",59
235,"TaxAccRef",290
236,"TaxAccRef",89
237,"TaxAccRef",103
238,"TaxAccRef",56
239,"TaxAccRef",142
240,"TaxAccRef",95
241,"TaxAccRef",56
242,"TaxAccRef",60
243,"TaxAccRef",60
244,"TaxAccRef",142
245,"TaxAccRef",209
246,"TaxAccRef",220
247,"TaxAccRef",64
248,"TaxAccRef",244
249,"TaxAccRef",256
250,"TaxAccRef",344
251,"TaxAccRef",191
252,"TaxAccRef",126
253,"TaxAccRef",290
254,"TaxAccRef",103
255,"TaxAccRef",191
256,"TaxAccRef",405
257,"TaxAccRef",191
258,"TaxAccRef",281
259,"TaxAccRef",142
260,"TaxAccRef",206
261,"TaxAccRef",103
262,"TaxAccRef",56
263,"TaxAccRef",126
264,"TaxAccRef",256
265,"TaxAccRef",244
266,"TaxAccRef",224
267,"TaxAccRef",103
268,"TaxAccRef",126
269,"TaxAccRef",262
270,"TaxAccRef",2
271,"TaxAccRef",275
272,"TaxAccRef",334
273,"TaxAccRef",324
274,"TaxAccRef",324
275,"TaxAccRef",324
276,"TaxAccRef",461
277,"TaxAccRef",461
278,"TaxAccRef",324
279,"TaxAccRef",324
280,"TaxAccRef",324
281,"TaxAccRef",461
282,"TaxAccRef",175
283,"TaxAccRef",250
284,"TaxAccRef",4
285,"TaxAccRef",72
286,"TaxAccRef",439
287,"TaxAccRef",361
288,"TaxAccRef",408
289,"TaxAccRef",64
290,"TaxAccRef",206
291,"TaxAccRef",359
