"ReferenceID","Authors","Year","Title","Details"
61,"Boheman C. H.",1845,"-","In:  Schoenherr C. J. 1845 -  Genera et species curculionidum, cum synonymia hujus familiae. Species novae aut hactenus minus cognitae, descriptionibus a Dom. L. Gyllenhal, C. H. Boheman, O. J. Fahraeus et entomologis aliis illustratae, 8(2) Supplementum continens. Roret ed., Paris(France). p. 1-504."
67,"Mannerheim G. von",1840,"--","In:  Schoenherr C. J. 1840 -  Genera et species curculionidum, cum synonymia hujus familiae. Species novae aut hactenus minus cognitae, descriptionibus a Dom. Leonardo Gyllenhal, C. H. Boheman, et entomologis aliis illustratae, Vol. 5(2) Supplementum continens. Roret ed., Paris(France). p. 465-978."
163,"Haedo Rossi J. A.",1960,"Nuevas entidades de “Brenthidae” para la fauna de la Republica de Bolivia (Brenthidae, Coleoptera)","Acta Zoologica Lilloana, 17 [1959]: 95-118."
164,"Scivittaro A.",1975,"Revisão dos Taphroderinae Neotropicais (Col. Brentidae)","Studia Entomologica, 18(1/4): 433-554."
165,"Hedicke H.",1923,"Nomina nova. II","Deutsche Entomologische Zeitschrift, 1923(1): 72."
166,"Kolbe H. J.",1883,"Ein neues Genus der Coleopteren-Familie Brenthidae aus Madagaskar","Berliner Entomologische Zeitschrift, 27(2): 185-186."
268,"Calabresi E.",1921,"Revisione del genere Stratiorrhina Pascoe (Coleopt. Brenthidae)","Bollettino della Società entomologica italiana, 53: 42-52."
274,"Horn G. H.",1872,"The Brenthidae of the United States","Transactions of the American Entomological Society, 4: 127-129."
318,"Senna A.",1898,"Viaggio del Dott. Elio Modigliani nelle Isole Mentawei. Nota sui Brentidi","Annali del Museo civico di Storia naturale di Genova, 19: 221-239."
421,"Fairmaire L.",1881,"Diagnoses de Coléoptères de la Mélanésie","Le Naturaliste, 3(47): 372-373."
425,"Kolbe H. J.",1883,"Zur Kenntniss der Brenthiden-Gattung Centrophorus Chevr. Madagascars","Stettiner Entomologische Zeitschrift, 1883: 381-388."
177,"Kleine R.",1922,"Studien über die Nemocephalini","Archiv für Naturgeschichte, 88(A 1): 143-151."
178,"Bory de Saint-Vincent J. B.",1827,"Dictionnaire classique d'Histoire Naturelle","11: MO-NSO: 615 pp. Rey et Gravier & Baudouin Frères, Paris (France)."
514,"Scivittaro A.",1982,"Revisão do gênero Hephebocerus Schoenherr, 1840 (Coleoptera, Brentidae)","Revista Brasileira de Entomologia, 26(3/4): 333-341."
3,"Fabricius J. C.",1787,"Mantissa insectorum sistens eorum species nuper detectas adiectis characteribus genericis, differentiis specificis, emendationibus, observationibus","348 pp. Impensis Christ. Gottl. Proft, Copenhagen (Denmark)."
4,"Linné C.",1758,"Systema Naturae per Regna tria naturae secundum classes, ordines, genera, species, cum characteribus, differentiis, synonymis, locis","1: 824 pp. Laurentii Salvii impensis, Copenhagen (Denmark)."
5,"Erichson G. F.",1847,"Conspectus Insectorum Coleopterorum quae in Republica Peruana observata sunt","Archiv für Naturgeschichte. Berlin, 13(1): 67-185."
6,"Herbst J. F. W.",1797,"Natursistem aller bekannten in- und ausländischen Insekten, als eine forsetzung der von Büffonschen Naturgeschichte. - Der Käfer siebenter Theil","346 pp. Pauli ed., Berlin (Germany)."
7,"Kirsch T.",1868,"Beiträge zur Käferfauna von Bogotà (Dritte Stück: Brenthiden und adelognathe Curculionen)","Berliner Entomologische Zeitschrift, 11 (1867): 215-243."
8,"Lund N. T.",1800,"Nogle Arten af slaegten Brentus","Skrivter af Naturhistorie–Selskabet, 5(2): 54-91."
9,"Perroud B. P.",1853,"Descriptions de quelques Coléoptères nouveaux ou peu connus","Annales de la Société Linnéenne de Lyon, 1: 389-528."
10,"Kleine R.",1943,"Neue Brenthiden aus dem Hungarischen National-Museum (Coleopt.)","Annales Historico-Naturales Musei Nationalis Hungarici, 36: 138-144."
11,"Haedo Rossi J. A.",1948,"Nota sobre Brentidos de la Argentina. Género Brenthus F. (Col. Rhynchophora)","Notas del Museo de La Plata, 105: 141-164."
12,"Kleine R.",1927,"Novos Generos e Especies da Fam. Brenthidae (Coleopt.) da Zona Neotropica. - Neue Brenthidengattungen und Arten, aus dem neotropischen Gebiet","Revista Museu Paulista, 15: 421-542."
14,"Griffini A.",1899,"Viaggio del Dott. E. Festa nella Repubblica dell’Ecuador e regioni vicine. XV. Note sopra alcuni Brentidi","Bollettini dei Musei di Zoologia ed Anatomia comparata della R. Università di Torino, 14(337): 1-4."
15,"Senna A.",1897,"Quelques espèces nouvelles de Brenthides du Musée Royal de Belgique et de ma collection et notes diverses","Annales de la Société entomologique de Belgique, 41: 227-236."
16,"Schoenherr C. J.",1840,"Genera et species curculionidum, cum synonymia hujus familiae. Species novae aut hactenus minus cognitae, descriptionibus a Dom. Leonardo Gyllenhal, C. H. Boheman, et entomologis aliis illustratae","Vol. 5(2) Supplementum continens: 465-978. Roret ed., Paris (France)."
19,"Sharp D.",1895,"Class Insecta. Order Coleoptera. Tribe Rhynchophora. Fam. Brenthidae","In:  Sharp D., Blandford F. Z. S. & Jordan K. 1895 -  Biologia Centrali-Americana, 4 (6) [1895-1907]. Frederick DuCane Godman & Osbert Salvin, London(Great Britain). p. 1-80."
20,"Soares B. A. M & Meyer C. R.",1959,"Novas espécies de Brêntidas do Brasil (Col. Brentidae)","Revista Brasileira de Biologia, 19(2): 165-175."
23,"Olivier A. G.",1790,"Brente","In:  Olivier A. G. 1790 -  Encyclopedie Méthodique. Histoire Naturelle. Insectes, Tome cinquième. Panckoucke, Paris(France). p. 187-192."
24,"Schoenherr C. J.",1833,"Genera et species curculionidum, cum synonymia hujus familiae. Species novae aut hactenus minus cognitae, descriptionibus a Dom. Leonardo Gyllenhal, C. H. Boheman, et entomologis aliis illustratae","1 (1): 381 pp. Roret ed., Paris (France)."
27,"Kleine R.",1928,"Eine neue Brenthide aus Peru (Ins. Col.)","Senckenbergiana, 10(5): 226-227."
29,"Dalman J. W.",1823,"Analecta Entomologica","104 pp. Typis Lindhianis, Stockholm (Sweden)."
30,"Dalman J. W.",1823,"Brenthus signatus","In:  Dalman J. W. 1823 -  Analecta Entomologica, Typis Lindhianis, Stockholm(Sweden). p. 86"
31,"Haedo Rossi J. A.",1959,"Una nueva especie del género Brenthus Fabricius, 1787 (Col. Brenthidae)","Revista de la Sociedad Entomologica Argentina, 21 [1958](1/2): 19-28."
34,"Boheman C. H.",1840,"-","In:  Schoenherr C. J. 1840 -  Genera et species curculionidum, cum synonymia hujus familiae. Species novae aut hactenus minus cognitae, descriptionibus a Dom. Leonardo Gyllenhal, C. H. Boheman, et entomologis aliis illustratae, Vol. 5(2) Supplementum continens. Roret ed., Paris(France). p. 465-978."
