"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
2975,2102,"Ubanius","","potens","","minor",,"Sharp, 1895","original combination, valid: No","Unambiguous Synonym",
2977,2684,"Ubanius","","solitarius","Sharp, 1895","",,"","original combination, valid: No","Unambiguous Synonym",
2359,932,"Brenthus","","unidentatus","Perroud, 1853","",,"","original combination, valid: No","Unambiguous Synonym",
2426,1119,"Megacerus","","pubescens","Kirsch, 1875","",,"","original combination, valid: No","Unambiguous Synonym",
2427,1119,"Megacerus","","quatuordentulus","Desbrochers des Loges, 1890","",,"","original combination, valid: No","Unambiguous Synonym",
2428,1119,"Orychodes","","cinnamomi","(Herbst, 1783)","",,"","new combination, valid: No","Unambiguous Synonym",
2962,1926,"Brentus","","curvidens","Lund, 1800","",,"","original combination, valid: No","Unambiguous Synonym",
2964,1926,"Tychaeus","","curvidens","","signatus",,"Sharp, 1895","original combination, valid: No","Unambiguous Synonym",
2963,1926,"Tychaeus","","curvidens","(Lund, 1800)","",,"","new combination, valid: No","Unambiguous Synonym",
2958,926,"Ceocephalus","","caudatus","Boheman, 1840","",,"","original combination, valid: No","Unambiguous Synonym",
2959,926,"Ceocephalus","","codicillus","Boheman, 1840","",,"","original combination, valid: No","Unambiguous Synonym",
2960,352,"Rhyticephalus","","brevicornis","Chevrolat, 1839","",,"","original combination, valid: No","Unambiguous Synonym",
641,773,"Cerobates","","nigrothorax","(Damoiseau, 1987)","",,"","new combination, valid: No","Unambiguous Synonym",
688,2172,"Microtrachelizus","","aethiopicus","Calabresi, 1920","",,"","original combination, valid: No","Unambiguous Synonym",
782,2646,"Microtrachelizus","","attritus","Kleine, 1923","",,"","original combination, valid: No","Unambiguous Synonym",
993,1550,"Metatrachelizus","","confragosus","Kleine, 1926","",,"","original combination, valid: No","Unambiguous Synonym",
879,2645,"Microtrachelizus","","brevitibia","(Senna, 1892)","",,"","new combination, valid: No","Unambiguous Synonym",
