"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsFossil","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
1,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","avellari","(Costa Lima, 1932)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=1",,
2,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","beaupertuyi","(Ortíz, 1954)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=2",,
3,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","bragai","(Mangabeira Fo & Sherlock, 1961)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=3",,
4,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","brumpti","(Larrousse, 1920)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=4",,
5,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","cardosoi","(Barretto & Coutinho, 1941)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=5",,
6,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","cunhai","(Mangabeira Fo, 1942)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=6",,
7,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","devenanzii","(Ortíz & Scorza, 1963)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=7",,
8,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","figueiredoi","(Mangabeira Fo & Sherlock, 1961)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=8",,
9,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","galindoi","(Fairchild & Hertig, 1947)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=9",,
10,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","guimaraesi","(Coutinho & Barretto, 1941)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=10",,
11,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","hamata","(Fairchild & Hertig, 1947)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=11",,
12,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","leopoldoi","(Rodríguez, 1953)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=12",,
13,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","mangabeirai","(Barretto & Coutinho, 1941)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=13",,
14,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","nitzulescui","(Costa Lima, 1932)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=14",,
15,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","orlandoi","(Fraiha, Shaw & Lainson, 1970)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=15",,
16,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","ortizi","(Martins, Silva & Falcão, 1971)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=16",,
17,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","pentacantha","(Barretto, 1947)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=17",,
18,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","pintoi","(Costa Lima, 1932)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=18",,
19,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","spinosipes","(Floch & Abonnenc, 1943)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=19",,
20,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","travassosi","(Mangabeira Fo, 1942)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=20",,
21,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","troglodytes","(Lutz, 1922)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=21",,
22,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Brumptomyia","Brumptomyia","virgensi","(Mangabeira Fo & Sherlock, 1961)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=22",,
23,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","abunaensis","(Martins, Falcão & Silva, 1965)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=23",,
24,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","aragaoi","(Costa Lima, 1932)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=24",,
25,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","barrettoi barrettoi","(Mangabeira Fo, 1942)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=25",,
26,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","barrettoi majuscula","Young, 1979","original combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=26",,
27,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","brasiliensis","(Costa Lima, 1932)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=27",,
28,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","carpenteri","(Fairchild & Hertig, 1953)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=28",,
29,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","coutinhoi","(Mangabeira Fo, 1942)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=29",,
30,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","inflata","(Floch & Abonnenc, 1944)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=30",,
31,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","pascalei","(Coutinho & Barretto, 1940)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=31",,
32,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","runoides","(Fairchild & Hertig, 1953)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=32",,
33,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","texana","(Dampf, 1938)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=33",,
34,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","baityi","(Damasceno, Causey & Arouck, 1945)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=34",,
35,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","gorbitzi","(Blancas, 1959)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=35",,
36,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","","moucheti","(Pajot & Le Pont, 1978)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=36",,
37,"Eukarya","Arthropoda","Hexapoda","Diptera","Psychodoidea","Psychodidae","Lutzomyia","Coromyia","aquilonia","(Fairchild & Harwood, 1961)","new combination, valid: Yes","Accepted name",0,"terrestrial",,"CIPA group","16/09/2011","http://cipa.snv.jussieu.fr/?lang=en&card=species&id=37",,
