"ReferenceID","Authors","Year","Title","Details"
3166,"Fennah R. G.",1969,"A revision of Idiosystatus Berg (Homoptera: Fulgoroidea, Delphacidae)","Proceedings of the Royal Entomological Society of London. Serie B., 38(3-4): 47-52."
3167,"Fennah R. G.",1977,"New species and new records of Fulgoridae (Homoptera: Fulgoroidea) from New Guinea","Pacific Insects, 17(4): 373-403."
3168,"Lallemand V.",1959,"Etude des Fulgorides de la Nouvelle Guinée (Rhynchota, Homoptera)","Nova Guinea new ser., 10(2): 187-196."
3169,"Muir F. A. G.",1919,"On the genus Ilburnia White","Proceedings of the Hawaiian Entomological Society. Honolulu, 4: 48-50."
3197,"Wang Ying-Lun, Chou Io & Yuan Feng",2001,"Descriptions of Chinese species of the genus Kinnara Distant (Homoptera Kinnaridae)","Journal of Northwest Sci-tech University of Agriculture and Forestry (Natural Science Edition), 29(1): 75-83."
3170,"Hoch H.",2013,"Diversity and Evolution of the South-East-Asian planthopper taxon Bennini (Hemiptera, Cixiidae)","Nova Supplementa Entomologica, 23: 1-296."
3171,"Beamer R. H.",1952,"One old and five new species of Delphacine Fulgorids (Homoptera: Fulgoridar)","Journal of the Kansas Entomological Society, 25: 111-115."
2705,"Van Stalle J.",1990,"New species, a key and distribution of the genus Proutista (Homoptera, Derbidae) in New Guinea","Indo-Malayan Zoology, 6(1): 101-118."
3172,"Emeljanov A. F.",1993,"A new genus of planthoppers of the family Delphacidae from Ethiopia (Homoptera,Cicadina)","Zoosystematica Rossica, 2(1): 93-96."
3173,"Emeljanov A. F.",2007,"Some new genera of the Oliarus group from the Oriental Region (Homoptera: Cixiidae) [2006]","Zoosystematica Rossica, 15(2): 291-292."
3174,"Van Stalle J.",1985,"Revision of Afrotropical Pentastirini (Homoptera, Cixiidae) I: Lalobidius gen. nov","Revue Zoologique Africaine. Bruxelles et Paris, 99(2): 171-175."
3175,"Emeljanov A. F.",1992,"Two New Tribes, a New Genus and a New Species of the Family Derbidae (Homoptera, Fulgoroidea)","Vestnik Zoologii, 4: 19-23."
3176,"Emeljanov A. F.",1997,"A new genus and species of the Dictyopharidae from Australia belonging to a new tribe (Homoptera, Cicadina)","Zoosystematica Rossica, 6(1-2): 77-82."
3177,"Giri M. K., Freytag P. H. & Yeargan K. V.",1985,"Field studies of delphacid planthopper populations (Homoptera: Delphacidae), with notes on their dryinid parasites (Hymenoptera: Dryinidae)","Journal of the Kansas Entomological Society, 58(1): 69-74."
3178,"Dlabola J.",1960,"Einige пеuе Zikaden aus Dagestan und Zentralasien (Homoptera)","Stuttgarter Beitrage zur Naturkunde, 40: 1-5."
3179,"Gnezdilov V. M.",2013,"New synonyms and combinations for the planthopper genus Eusarima (Hemiptera: Fulgoroidea: Issidae)","Acta Entomologica Musei Nationalis Pragae, 53(2): 485-492."
3180,"Liang Ai-Ping & Suwa Masaaki",1997,"Type specimens of Matsumura’s species of Fulgoroidea (excluding Delphacidae) in the Hokkaido University Insect Collection, Japan (Hemiptera: Fulgoromorpha).","Insecta Matsumurana. Sapporo, 54: 133-166."
3181,"Gnezdilov V. M.",2013,"A new species of the genus Augilina Melichar (Hemiptera, Fulgoroidea, Caliscelidae) from Southern Vietnam","Deutsche entomologische Zeitschrift. Berlin, 60(2): 171-177."
3182,"Gnezdilov V. M.",2013,"Contribution to the taxonomy of the family Tropiduchidae Stl (Hemiptera, Fulgoroidea) with description of two new tribes from Afrotropical Region","Deutsche entomologische Zeitschrift. Berlin, 60(2): 179-191."
