"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
62,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Triozidae","Anomocephala","","unica","Tuthill, 1942","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=64",,
64,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Aphalaridae","Aphalara","","rumicis","Mally, 1894","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=66",,
70,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Psyllidae","Arytaina","","punctinervis","Crawford, 1919","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=72",,
74,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Calophyidae","Calophya","","nigridorsalis","Kuwayama, 1908","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=76",,
75,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Calophyidae","Calophya","","luzonensis","Crawford, 1915","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=77",,
76,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Carsidaridae","Carsidara","","marginalis","Walker, 1869","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=78",,
78,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Triozidae","Cerotrioza","","bivittata","Crawford, 1918","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=80",,
79,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Triozidae","Cerotrioza","","bridwelli","Crawford, 1920","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=81",,
83,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Triozidae","Crawforda","","triopsyllina","Caldwell, 1940","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=85",,
84,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Aphalaridae","Ctenarytaina","","eucalypti","(Maskell, 1890)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=86",,
85,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Aphalaridae","Ctenarytaina","","lulla","(Tuthill, 1942)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=87",,
86,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Liviidae","Diaphorina","","citri","Kuwayama, 1908","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=88",,
87,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Liviidae","Diclidophlebia","","oceanica","(Crawford, 1919)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=90",,
88,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Homotomidae","Dynopsylla","","cornuta","Crawford, 1913","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=91",,
89,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Homotomidae","Dynopsylla","","pinnativena","(Enderlein, 1914)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=92",,
90,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Psylloidea","Liviidae","Epipsylla","","albolineata","Kuwayama, 1908","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015","http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=93",,
