"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
62,"TUBOO","TDWG Level 4 code","native"
64,"OREOO","TDWG Level 4 code","native"
64,"MNTOO","TDWG Level 4 code","native"
64,"COLOO","TDWG Level 4 code","native"
64,"WASOO","TDWG Level 4 code","native"
64,"IOWOO","TDWG Level 4 code","native"
64,"ILLOO","TDWG Level 4 code","native"
64,"HAWHI","TDWG Level 4 code","native"
64,"WYOOO","TDWG Level 4 code","native"
64,"BRCOO","TDWG Level 4 code","native"
64,"ARIOO","TDWG Level 4 code","native"
64,"MSIOO","TDWG Level 4 code","native"
64,"CALOO","TDWG Level 4 code","native"
64,"NSCOO","TDWG Level 4 code","native"
64,"TEXOO","TDWG Level 4 code","native"
70,"MLYSI","TDWG Level 4 code","native"
74,"JAPKY","TDWG Level 4 code","native"
74,"TAIOO","TDWG Level 4 code","native"
74,"JAPHK","TDWG Level 4 code","native"
74,"JAP","TDWG Level 4 code","native"
74,"KUROO","TDWG Level 4 code","native"
74,"JAPHN","TDWG Level 4 code","native"
74,"NNSOO","TDWG Level 4 code","native"
75,"PHIOO","TDWG Level 4 code","native"
76,"MLYPM","TDWG Level 4 code","native"
76,"PHIOO","TDWG Level 4 code","native"
76,"SULOO","TDWG Level 4 code","native"
76,"CHSHK","TDWG Level 4 code","native"
76,"JAP","TDWG Level 4 code","native"
76,"MLY","TDWG Level 4 code","native"
76,"BORSB","TDWG Level 4 code","native"
76,"LSILS","TDWG Level 4 code","native"
78,"HAWHI","TDWG Level 4 code","native"
78,"HAW","TDWG Level 4 code","native"
79,"HAWHI","TDWG Level 4 code","native"
83,"HAWHI","TDWG Level 4 code","native"
84,"SWIOO","TDWG Level 4 code","native"
84,"SRLOO","TDWG Level 4 code","native"
84,"CNYOO","TDWG Level 4 code","native"
84,"NZNOO","TDWG Level 4 code","native"
84,"VICOO","TDWG Level 4 code","native"
84,"CALOO","TDWG Level 4 code","native"
84,"IREIR","TDWG Level 4 code","native"
84,"FRAFR","TDWG Level 4 code","native"
84,"WAUWA","TDWG Level 4 code","native"
84,"AZOOO","TDWG Level 4 code","native"
84,"TASOO","TDWG Level 4 code","native"
84,"SPASP","TDWG Level 4 code","native"
84,"CLMOO","TDWG Level 4 code","native"
84,"GRBOO","TDWG Level 4 code","native"
84,"BZSRS","TDWG Level 4 code","native"
84,"51","TDWG Level 4 code","native"
