"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
212,111,"Myrmecolax","","afurcifer","Luna de Carvalho, 1959","",,"","original combination, valid: No","Unambiguous Synonym",
327,736,"Stylops","","elongatua","Bohart, 1937","",,"","original combination, valid: No","Unambiguous Synonym",
287,183,"Stylops","","nasssanowi","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
749,73,"Iberoxenos","","primitivus","Bolivar Pieltain, 1926","",,"","original combination, valid: No","Unambiguous Synonym",
750,75,"Mengenilla","","laevigata","Silvestri, 1941","",,"","original combination, valid: No","Unambiguous Synonym",
751,75,"Mengenilla","","nigritula","Silvestri, 1941","",,"","original combination, valid: No","Unambiguous Synonym",
752,75,"Mengenillopsis","","mauretanica","Hofeneder, 1928","",,"","original combination, valid: No","Unambiguous Synonym",
753,75,"Mengenilla","","quaesita","Silvestri, 1933","",,"","original combination, valid: No","Unambiguous Synonym",
754,75,"Tetrozocera","","santchii","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
755,75,"Mengenilla","","spinulosa","Silvestri, 1940","",,"","original combination, valid: No","Unambiguous Synonym",
756,75,"Mengenilla","","subnigrescens","Silvestri, 1941","",,"","original combination, valid: No","Unambiguous Synonym",
757,75,"Mengenillopsis","","theryi","Hofeneder, 1926","",,"","original combination, valid: No","Unambiguous Synonym",
758,93,"Triozocera","","taxana","Pierce, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
761,133,"Caenocholax","","davano","Bohart, 1951","",,"","original combination, valid: No","Unambiguous Synonym",
766,142,"Caenocholax","","velhenai","Luna de Carvalho, 1956","",,"","original combination, valid: No","Unambiguous Synonym",
773,177,"Stylops","","kirbii","Leach, 1815","",,"","original combination, valid: No","Unambiguous Synonym",
774,181,"Stylops","","trimmeranae","Smith, 1857","",,"","original combination, valid: No","Unambiguous Synonym",
775,181,"Stylops","","niger","Beneden, 1875","",,"","original combination, valid: No","Unambiguous Synonym",
776,182,"Stylops","","thwaitesi","Perkins, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
777,182,"Stylops","","wilkellae","Perkins, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
778,186,"Stylops","","hartfordensis","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
779,186,"Stylops","","nasoni","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
780,186,"Stylops","","andrenoides","Pierce, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
781,186,"Stylops","","salictariae","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
782,188,"Stylops","","imitatrix","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
783,188,"Stylops","","vierecki","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
784,189,"Stylops","","graenicheri","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
325,199,"Stylops","","centroclarus","Bohart, 1937","",,"","original combination, valid: No","Unambiguous Synonym",
785,203,"Stylops","","asteridis","Pierce, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
786,206,"Stylops","","sinuatus","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
303,212,"Stylops","","bisalicidis","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
787,212,"Stylops","","diabola","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
788,240,"Stylops","","spencii","Perkins, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
789,266,"Hylecthrus","","quercus","Saunders, 1850","",,"","original combination, valid: No","Unambiguous Synonym",
791,275,"Halictostylops","","spencii","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
792,275,"Halictophagus","","spencii","Nassonov, 1910","",,"","original combination, valid: No","Unambiguous Synonym",
793,275,"Halictoxenos","","spencii","Perkins, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
794,275,"Halictoxenos","","nassonovi","Ogloblin, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
795,275,"Halictoxenos","","culindrici","Perkins, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
377,275,"Halictoxenos","","nitidiusculus","Ogloblin, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
796,275,"Halictoxenos","","spenci","Kinzelbach, 1969","",,"","original combination, valid: No","Unambiguous Synonym",
797,278,"Halictoxenos","","graenicheri","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
798,278,"Halictoxenos","","zephyri","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
799,278,"Halictoxenos","","versati","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
800,278,"Halictoxenos","","sparsi","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
378,284,"Halictoxenos","","ulrichi","Hofeneder, 1939","",,"","original combination, valid: No","Unambiguous Synonym",
803,298,"Xenos","","jurinei","Saunders, 1872","",,"","original combination, valid: No","Unambiguous Synonym",
804,298,"Xenos","","rossii","Kirby, 1813","",,"","original combination, valid: No","Unambiguous Synonym",
805,299,"Xenos","","wheeleri","Pierce, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
806,299,"Xenos","","bruesi","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
807,299,"Xenos","","californicus","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
809,648,"Vespaexenos","","crabronis","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
810,648,"Vespaexenos","","buyssoni","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
811,648,"Vespaexenos","","matsumarai","Szekessy, 1965","",,"","original combination, valid: No","Unambiguous Synonym",
812,301,"Acroschismus","","hubbardi","Pierce, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
817,317,"Xenos","","klugii","Saunders, 1872","",,"","original combination, valid: No","Unambiguous Synonym",
412,317,"Pseudoxenos","","schaumii","Saunders, 1872","",,"","original combination, valid: No","Unambiguous Synonym",
818,317,"Paraxenos","","corcyricus","Saunders, 1872","",,"","original combination, valid: No","Unambiguous Synonym",
426,317,"Pseudoxenos","","seyrigi","Monod, 1925","",,"","original combination, valid: No","Unambiguous Synonym",
429,317,"Pseudoxenos","","andradei","Luna de Carvalho, 1953","",,"","original combination, valid: No","Unambiguous Synonym",
1008,679,"Halictophagus","","thaiae","Kifune, 1983","",,"","original combination, valid: No","Unambiguous Synonym",
480,388,"Halictophagus","","curtis","Curtis, 1831","",,"","original combination, valid: No","Unambiguous Synonym",
999,669,"Halictophagus","","stenocrani","Kifune, 1986","",,"","original combination, valid: No","Unambiguous Synonym",
742,745,"Xenos","Nipponoxenos","vespularum","Kifune & Maeta, 1975","",,"","original combination, valid: No","Unambiguous Synonym",
432,317,"Pseudoxenos","","lusitanicus","Luna de Carvalho, 1960","",,"","original combination, valid: No","Unambiguous Synonym",
435,317,"Pseudoxenos","","atlanticus","Luna de Carvalho, 1969","",,"","original combination, valid: No","Unambiguous Synonym",
820,324,"Pseudoxenos","","histrionis","Pierce, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
821,324,"Pseudoxenos","","pedestridis","Pierce, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
823,333,"Macroxenos","","pierci","Schultze, 1925","",,"","original combination, valid: No","Unambiguous Synonym",
824,594,"Macroxenos","","pierce","Schultze, 1925","",,"","original combination, valid: No","Unambiguous Synonym",
826,349,"Paraxenos","","sieboldii","Saunders, 1872","",,"","original combination, valid: No","Unambiguous Synonym",
828,350,"Xenos","","smithii","Heyden, 1867","",,"","original combination, valid: No","Unambiguous Synonym",
832,353,"Eupathocera","","pruinosae","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
833,353,"Eupathocera","","pictipennidis","Pierce, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
834,353,"Eupathocera","","vulgardis","Pierce, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
858,391,"Pentoxocera","","australiensis","Pierce, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
859,391,"Pentozocera","","australiensis","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
860,391,"Halictophagus","","spectrus","Yang, 1964","",,"","original combination, valid: No","Unambiguous Synonym",
861,391,"Halictophagus","","helleri","Kinzelbach, 1971","",,"","original combination, valid: No","Unambiguous Synonym",
862,392,"Pentoxocera","","phaedoes","Pierce, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
863,392,"Pentozocera","","phaedoes","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
870,396,"Halictophagus","","baberi","Bohart, 1941","",,"","original combination, valid: No","Unambiguous Synonym",
873,397,"Halictophagus","","insularium","Bohart, 1941","",,"","original combination, valid: No","Unambiguous Synonym",
874,397,"Diozocera","","argentinae","Pierce, 1941","",,"","original combination, valid: No","Unambiguous Synonym",
875,397,"Diozocera","","comstocki","Pierce, 1941","",,"","original combination, valid: No","Unambiguous Synonym",
876,400,"Tettigoxenos","","cladoceras","Jeannel, 1913","",,"","original combination, valid: No","Unambiguous Synonym",
882,406,"Dacyrtocara","","undata","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
893,438,"Pentoxocera","","schwarzi","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
894,438,"Pentozocera","","schwarzi","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
901,483,"Stylops","","tenuicronis","Kirby, 1815","",,"","original combination, valid: No","Unambiguous Synonym",
902,483,"Elenchus","","walkeri","Curtis, 1831","",,"","original combination, valid: No","Unambiguous Synonym",
903,483,"Elenchinus","","delphacophilus","Ahlberg, 1925","",,"","original combination, valid: No","Unambiguous Synonym",
904,483,"Elenchinus","","carpathicus","Ogloblin, 1925","",,"","original combination, valid: No","Unambiguous Synonym",
905,483,"Elenchus","","dubius","Ogloblin, 1926","",,"","original combination, valid: No","Unambiguous Synonym",
906,483,"Elenchus","","forcipatus","Ogloblin, 1926","",,"","original combination, valid: No","Unambiguous Synonym",
907,483,"Elenchus","","lugubrinus","Ogloblin, 1926","",,"","original combination, valid: No","Unambiguous Synonym",
908,483,"Elenchus","","tenuicronis","Pierce, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
910,485,"Elenchus","","tenuicornis","Baumert, 1959","",,"","original combination, valid: No","Unambiguous Synonym",
911,485,"Elenchinus","","heidemanni","Pierce, 1918","",,"","original combination, valid: No","Unambiguous Synonym",
924,93,"Triozocera","","paulustana","Kogan, 1958","",,"","original combination, valid: No","Unambiguous Synonym",
927,139,"Rhipidocolax","","gohias","Luna de Carvalho, 1956","",,"","original combination, valid: No","Unambiguous Synonym",
930,266,"Hylecthrus","","sieboldii","Saunders, 1853","",,"","original combination, valid: No","Unambiguous Synonym",
931,299,"Acroschismus","","pecosensis","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
932,299,"Acroschismus","","bowditchi","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
933,299,"Acroschismus","","texani","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
934,299,"Acroschismus","","maximus","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
935,299,"Acroschismus","","auriferi","Pierce, 1911","",,"","original combination, valid: No","Unambiguous Synonym",
937,323,"Leionotoxenos","","joensi","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
940,350,"Hamilops","","bishoppi","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
941,350,"Hamilops","","ashmeadi","Pierce, 1909","",,"","original combination, valid: No","Unambiguous Synonym",
944,390,"Agalliaphagus","","uhieri","Pierce, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
947,438,"Halictophagus","","schwarzi","Bohart, 1943","",,"","original combination, valid: No","Unambiguous Synonym",
950,483,"Elenchinus","","chorionae","Lindberg, 1939","",,"","original combination, valid: No","Unambiguous Synonym",
954,531,"Caenocholax","","wygodzyskyi","Oliveira & Kogan, 1959","",,"","original combination, valid: No","Unambiguous Synonym",
955,275,"Halictoxenos","","calceati","Noskiewicz & Poluszynski, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
670,275,"Halictoxenos","","puncticollis","Noskiewicz & Poluszynski, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
956,284,"Halictoxenos","","sjoi","Noskiewicz & Poluszynski, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
671,284,"Halictoxenos","","rubicundi","Noskiewicz & Poluszynski, 1924","",,"","original combination, valid: No","Unambiguous Synonym",
957,284,"Halictoxenos","","simplicus","Noskiewicz & Poluszynski, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
686,333,"Pseudoxenos","","schultzei","Kifune & Maeta, 1965","",,"","original combination, valid: No","Unambiguous Synonym",
966,425,"Halictophagus","","munroei","Hirashima & Kifune, 1978","",,"","original combination, valid: No","Unambiguous Synonym",
967,624,"Elenchus","","yasumatsui","(Kifune & Hirashima, 1975)","",,"","new combination, valid: No","Unambiguous Synonym",
969,359,"Ophthalmochlus","Hamilops","argentines","Brèthes, 1923","",,"","original combination, valid: No","Unambiguous Synonym",
977,75,"Mengenilla","","nigritula","","quadriarticulata",,"Luna de Carvalho, 1953","original combination, valid: No","Unambiguous Synonym",
979,301,"Acroschismus","","pallidus","","texensis",,"Pierce, 1909","original combination, valid: No","Unambiguous Synonym",
980,397,"Diozocera","","insularum","","vincenti",,"Pierce, 1941","original combination, valid: No","Unambiguous Synonym",
981,397,"Diozocera","","comstocki","","elsegundinis",,"Pierce, 1941","original combination, valid: No","Unambiguous Synonym",
982,487,"Elenchus","","melanias","","silvestris",,"Perkins, 1910","original combination, valid: No","Unambiguous Synonym",
