"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
3,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Parada","","absona","Drake, 1952","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=3",,
4,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Parada","","solla","Drake & Ruhoff, 1961","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=4",,
313,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Cochlochila","Kibongoto","capeneri","Drake & Slater, 1955","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=312",,
314,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Abdastartus","","atrus","(Motschulsky, 1863)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=313",,
315,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Abdastartus","","longulus","Drake, 1953","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=314",,
316,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Abdastartus","","sacchari","Drake, 1930","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=315",,
317,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Abdastartus","","smetanai","Péricart, 1992","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=316",,
318,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","acutangula","(Jakovlev, 1880)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=317",,
319,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","anatolica","Josifov, 1967","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=318",,
320,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","brunnea","(Germar, 1836)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=319",,
321,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","carinata","(Panzer, 1806)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=320",,
322,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","carpathica","Horváth, 1905","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=321",,
323,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","cooleyi","Drake, 1917","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=322",,
324,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","costata","Zheng & Liu, 1992","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=323",,
325,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","detrita","Péricart, 1992","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=324",,
326,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","duryi","Drake, 1930","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=325",,
327,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","elegans","Horváth, 1906","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=326",,
328,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","elinoides","(Jakovlev, 1893)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=327",,
329,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","finitima","(Puton, 1884)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=328",,
330,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","formosana","Tomokuni, 1992","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=329",,
331,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","gracilis","(Fieber, 1844)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=330",,
332,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","hellenica","Reuter, 1888","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=331",,
333,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","heteropepla","Horváth, 1907","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=332",,
334,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","hoberlandti","Roubal, 1958","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=333",,
335,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","irregularis","Péricart, 1981","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=334",,
336,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","lillianis","Torre-Bueno, 1916","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=335",,
337,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","lorae","Froeschner, 1991","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=336",,
338,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","marginata","(Wolff, 1804)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=337",,
339,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","mniophila","Drake & Ruhoff, 1959","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=338",,
340,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","mongolica","Golub, 1973","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=339",,
341,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","montana","Hoberlandt, 1944","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=340",,
342,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","musci","(Schrank, 1781)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=341",,
343,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","nigrina","(Fallén, 1807)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=342",,
344,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","nigrinervis","Stål, 1874","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=343",,
345,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","nyctalis","Drake, 1928","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=344",,
346,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","parvula","(Fallén, 1807)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=345",,
347,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","platycheila","(Fieber, 1844)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=346",,
348,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","pulchra","Stusak, 1961","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=347",,
349,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","ruhoffae","Froeschner, 1976","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=348",,
350,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","samara","(Puton, 1887)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=349",,
351,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","saundersi","(Downes, 1927)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=350",,
352,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","sauteri","Drake, 1942","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=351",,
353,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","sejuncta","Horváth, 1905","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=352",,
354,"Eukarya","Arthropoda","Hexapoda","Hemiptera","","Tingidae","Acalypta","","sordida","(Jakovlev, 1893)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015","http://hemiptera-databases.com/tingidae?lang=en&card=name&id=353",,
