"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
334,"2","TDWG Level 4 code","native"
335,"8","TDWG Level 4 code","native"
336,"8","TDWG Level 4 code","native"
337,"4","TDWG Level 4 code","native"
338,"4","TDWG Level 4 code","native"
339,"4","TDWG Level 4 code","native"
340,"8","TDWG Level 4 code","native"
341,"8","TDWG Level 4 code","native"
342,"8","TDWG Level 4 code","native"
343,"8","TDWG Level 4 code","native"
344,"8","TDWG Level 4 code","native"
345,"8","TDWG Level 4 code","native"
346,"8","TDWG Level 4 code","native"
347,"8","TDWG Level 4 code","native"
348,"8","TDWG Level 4 code","native"
349,"3","TDWG Level 4 code","native"
349,"4","TDWG Level 4 code","native"
351,"4","TDWG Level 4 code","native"
352,"2","TDWG Level 4 code","native"
353,"2","TDWG Level 4 code","native"
354,"8","TDWG Level 4 code","native"
355,"8","TDWG Level 4 code","native"
356,"8","TDWG Level 4 code","native"
357,"8","TDWG Level 4 code","native"
358,"8","TDWG Level 4 code","native"
359,"6","TDWG Level 4 code","native"
360,"6","TDWG Level 4 code","native"
361,"6","TDWG Level 4 code","native"
362,"8","TDWG Level 4 code","native"
363,"8","TDWG Level 4 code","native"
364,"8","TDWG Level 4 code","native"
365,"8","TDWG Level 4 code","native"
366,"8","TDWG Level 4 code","native"
367,"8","TDWG Level 4 code","native"
368,"2","TDWG Level 4 code","native"
369,"4","TDWG Level 4 code","native"
369,"5","TDWG Level 4 code","native"
370,"3","TDWG Level 4 code","native"
371,"4","TDWG Level 4 code","native"
372,"2","TDWG Level 4 code","native"
373,"3","TDWG Level 4 code","native"
373,"4","TDWG Level 4 code","native"
374,"3","TDWG Level 4 code","native"
739,"3","TDWG Level 4 code","native"
740,"4","TDWG Level 4 code","native"
741,"4","TDWG Level 4 code","native"
742,"3","TDWG Level 4 code","native"
743,"3","TDWG Level 4 code","native"
744,"3","TDWG Level 4 code","native"
745,"3","TDWG Level 4 code","native"
745,"4","TDWG Level 4 code","native"
746,"4","TDWG Level 4 code","native"
747,"4","TDWG Level 4 code","native"
748,"3","TDWG Level 4 code","native"
748,"4","TDWG Level 4 code","native"
749,"3","TDWG Level 4 code","native"
749,"4","TDWG Level 4 code","native"
750,"3","TDWG Level 4 code","native"
751,"3","TDWG Level 4 code","native"
752,"3","TDWG Level 4 code","native"
753,"3","TDWG Level 4 code","native"
754,"3","TDWG Level 4 code","native"
755,"4","TDWG Level 4 code","native"
756,"3","TDWG Level 4 code","native"
757,"3","TDWG Level 4 code","native"
757,"4","TDWG Level 4 code","native"
