"AcceptedTaxonID","ParentSpeciesID","InfraSpeciesEpithet","InfraSpeciesAuthorString","InfraSpeciesMarker","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","InfraSpeciesURL","GSDTaxonGUI","GSDNameGUI"
2911,947,"mozambica","Lallemand, 1920",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4861",,
2912,1056,"hebridianus","Lallemand, 1942",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4862",,
2913,1056,"immaculatus","Lallemand, 1928",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4863",,
2914,1056,"obscurus","Lallemand, 1928",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4864",,
2915,1056,"samoanus","Lallemand, 1937",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4865",,
2916,1056,"wallisanus","Lallemand, 1942",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4866",,
2917,2175,"gambierana","Lallemand, 1944",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4867",,
2918,947,"trimaculata","Lallemand, 1927",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4868",,
2927,1919,"b","Stål, 1866",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4878",,
2928,1919,"bifasciatus","Signoret, 1860",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4879",,
2929,1919,"c","Stål, 1866",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4880",,
2930,1919,"compactus","Lallemand & Synave, 1952",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4881",,
2931,1919,"goudoti","Bennett, 1833",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015",http://hemiptera-databases.com/cool?lang=en&card=name&id=4882",,
