"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
343,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Hindola","","fulva","Baker, 1927","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=484",,
349,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Hindola","","nitida","Baker, 1927","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=499",,
354,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Hindola","","viridicans","(Stål, 1854)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=509",,
356,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaeropsis","","nervosa","(Lallemand, 1936)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=514",,
358,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Machaeropsis","","valida","Melichar, 1903","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=516",,
359,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Apomachaerota","","reticulata","Schmidt, 1907","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=517",,
360,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Enderleinia","","bispina","Schmidt, 1907","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=518",,
361,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Enderleinia","","fumipennis","Schmidt, 1924","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=519",,
362,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Neuromachaerota","","obscurior","Jacobi, 1921","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=520",,
363,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Neuromachaerota","","vosseleri","Schmidt, 1912","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=521",,
364,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Neuroleinia","","collarti","Lallemand, 1936","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=522",,
365,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Serreia","","notabilis","Baker, 1927","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=523",,
369,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Chaetophyes","","ceramensis","Lallemand, 1927","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=529",,
370,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Chaetophyes","","vicina","Lallemand, 1927","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=530",,
371,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Cercopoidea","Machaerotidae","Chaetophyes","","compacta","(Walker, 1851)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Soulier-Perkins Adeline","15/01/2015","http://hemiptera-databases.com/cool?lang=en&card=name&id=531",,
