"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
343,"BORBR","TDWG Level 4 code","native"
343,"BORSB,BORSR,MLYPM","TDWG Level 4 code","native"
343,"BORSR","TDWG Level 4 code","native"
349,"BOR","TDWG Level 4 code","native"
354,"BOR","TDWG Level 4 code","native"
354,"BORSB,BORSR,MLYPM","TDWG Level 4 code","native"
354,"MOLOO","TDWG Level 4 code","native"
354,"MYAOO","TDWG Level 4 code","native"
354,"SUMOO","TDWG Level 4 code","native"
360,"IVOOO","TDWG Level 4 code","native"
360,"ZAIOO","TDWG Level 4 code","native"
365,"PHIOO","TDWG Level 4 code","native"
369,"MOLOO","TDWG Level 4 code","native"
370,"50","TDWG Level 4 code","native"
371,"50","TDWG Level 4 code","native"
371,"TASOO","TDWG Level 4 code","native"
373,"MDGOO","TDWG Level 4 code","native"
387,"BORSB","TDWG Level 4 code","native"
388,"JAWOO","TDWG Level 4 code","native"
390,"BORSB,BORSR,MLYPM","TDWG Level 4 code","native"
392,"BORSB","TDWG Level 4 code","native"
392,"BORSB,BORSR,MLYPM","TDWG Level 4 code","native"
392,"SUMOO","TDWG Level 4 code","native"
393,"BOR","TDWG Level 4 code","native"
394,"ANDAN","TDWG Level 4 code","native"
395,"ASSAS","TDWG Level 4 code","native"
396,"VIEOO","TDWG Level 4 code","native"
397,"IND","TDWG Level 4 code","native"
397,"JAP","TDWG Level 4 code","native"
397,"JAWOO","TDWG Level 4 code","native"
397,"MYAOO","TDWG Level 4 code","native"
397,"PHIOO","TDWG Level 4 code","native"
397,"TAIOO","TDWG Level 4 code","native"
400,"VIEOO","TDWG Level 4 code","native"
401,"NWGPN","TDWG Level 4 code","native"
402,"MYAOO","TDWG Level 4 code","native"
402,"VIEOO","TDWG Level 4 code","native"
403,"TAIOO","TDWG Level 4 code","native"
405,"PHIOO","TDWG Level 4 code","native"
409,"PHIOO","TDWG Level 4 code","native"
411,"MOLOO","TDWG Level 4 code","native"
413,"INDKE","TDWG Level 4 code","native"
414,"50","TDWG Level 4 code","native"
414,"PHIOO","TDWG Level 4 code","native"
416,"SRLOO","TDWG Level 4 code","native"
418,"JAWOO","TDWG Level 4 code","native"
418,"LSILS","TDWG Level 4 code","native"
418,"SUMOO","TDWG Level 4 code","native"
419,"SUMOO","TDWG Level 4 code","native"
420,"JAP","TDWG Level 4 code","native"
420,"JAPHN","TDWG Level 4 code","native"
420,"TAIOO","TDWG Level 4 code","native"
421,"IND","TDWG Level 4 code","native"
436,"BORSB,BORSR,MLYPM","TDWG Level 4 code","native"
436,"SUMOO","TDWG Level 4 code","native"
439,"SRLOO","TDWG Level 4 code","native"
440,"EHMDJ","TDWG Level 4 code","native"
440,"IND","TDWG Level 4 code","native"
441,"36","TDWG Level 4 code","native"
441,"CHSGD","TDWG Level 4 code","native"
441,"EHMSI","TDWG Level 4 code","native"
441,"IND","TDWG Level 4 code","native"
441,"MYAOO","TDWG Level 4 code","native"
441,"VIEOO","TDWG Level 4 code","native"
442,"CBDOO","TDWG Level 4 code","native"
442,"THAOO","TDWG Level 4 code","native"
443,"CHSFJ","TDWG Level 4 code","native"
443,"IND","TDWG Level 4 code","native"
443,"INDPU","TDWG Level 4 code","native"
443,"INDUP","TDWG Level 4 code","native"
443,"WHM","TDWG Level 4 code","native"
444,"36","TDWG Level 4 code","native"
444,"VIEOO","TDWG Level 4 code","native"
445,"BORSB,BORSR,MLYPM","TDWG Level 4 code","native"
445,"MLYPM","TDWG Level 4 code","native"
446,"IND","TDWG Level 4 code","native"
446,"INDPU","TDWG Level 4 code","native"
447,"CHSFJ","TDWG Level 4 code","native"
447,"EHMSI","TDWG Level 4 code","native"
447,"IND","TDWG Level 4 code","native"
447,"INDMP","TDWG Level 4 code","native"
448,"36","TDWG Level 4 code","native"
448,"BORSB,BORSR,MLYPM","TDWG Level 4 code","native"
448,"IND","TDWG Level 4 code","native"
448,"INDUP","TDWG Level 4 code","native"
448,"MYAOO","TDWG Level 4 code","native"
448,"THAOO","TDWG Level 4 code","native"
448,"VIEOO","TDWG Level 4 code","native"
449,"CHSZJ","TDWG Level 4 code","native"
450,"IND","TDWG Level 4 code","native"
450,"INDPU","TDWG Level 4 code","native"
451,"ASSAS","TDWG Level 4 code","native"
451,"IND","TDWG Level 4 code","native"
451,"INDBI","TDWG Level 4 code","native"
451,"INDUP","TDWG Level 4 code","native"
451,"INDWB","TDWG Level 4 code","native"
451,"MYAOO","TDWG Level 4 code","native"
451,"NEPOO","TDWG Level 4 code","native"
451,"VIEOO","TDWG Level 4 code","native"
452,"36","TDWG Level 4 code","native"
452,"CHCSC","TDWG Level 4 code","native"
452,"CHCYN","TDWG Level 4 code","native"
453,"36","TDWG Level 4 code","native"
453,"ASSAS","TDWG Level 4 code","native"
453,"BANOO","TDWG Level 4 code","native"
453,"CHCSC","TDWG Level 4 code","native"
453,"IND","TDWG Level 4 code","native"
453,"INDBI","TDWG Level 4 code","native"
453,"INDWB","TDWG Level 4 code","native"
453,"MYAOO","TDWG Level 4 code","native"
453,"VIEOO","TDWG Level 4 code","native"
454,"ASSAS","TDWG Level 4 code","native"
454,"IND","TDWG Level 4 code","native"
455,"CBDOO","TDWG Level 4 code","native"
455,"LAOOO","TDWG Level 4 code","native"
455,"MLYPM","TDWG Level 4 code","native"
455,"MLYSI","TDWG Level 4 code","native"
455,"MYAOO","TDWG Level 4 code","native"
455,"THAOO","TDWG Level 4 code","native"
455,"VIEOO","TDWG Level 4 code","native"
456,"CHSJX","TDWG Level 4 code","native"
457,"IND","TDWG Level 4 code","native"
457,"INDMR","TDWG Level 4 code","native"
457,"SRLOO","TDWG Level 4 code","native"
458,"CHSGX","TDWG Level 4 code","native"
458,"JAP","TDWG Level 4 code","native"
458,"TAIOO","TDWG Level 4 code","native"
459,"JAP","TDWG Level 4 code","native"
459,"TAIOO","TDWG Level 4 code","native"
460,"IND","TDWG Level 4 code","native"
461,"SRLOO","TDWG Level 4 code","native"
462,"BORSR","TDWG Level 4 code","native"
462,"MLYPM","TDWG Level 4 code","native"
463,"JAP","TDWG Level 4 code","native"
463,"TAIOO","TDWG Level 4 code","native"
464,"TAIOO","TDWG Level 4 code","native"
465,"BOR","TDWG Level 4 code","native"
467,"SUMOO","TDWG Level 4 code","native"
468,"JAWOO","TDWG Level 4 code","native"
469,"MLYPM","TDWG Level 4 code","native"
469,"MYAOO","TDWG Level 4 code","native"
469,"SUMOO","TDWG Level 4 code","native"
469,"THAOO","TDWG Level 4 code","native"
470,"JAWOO","TDWG Level 4 code","native"
471,"MLYPM","TDWG Level 4 code","native"
472,"SUMOO","TDWG Level 4 code","native"
473,"BOR","TDWG Level 4 code","native"
473,"MLYPM","TDWG Level 4 code","native"
473,"SUMOO","TDWG Level 4 code","native"
474,"JAWOO","TDWG Level 4 code","native"
475,"ZAIOO","TDWG Level 4 code","native"
476,"TANOO","TDWG Level 4 code","native"
476,"TVLNP","TDWG Level 4 code","native"
477,"ETHOO","TDWG Level 4 code","native"
477,"TANOO","TDWG Level 4 code","native"
477,"ZIMOO","TDWG Level 4 code","native"
478,"CMNOO","TDWG Level 4 code","native"
478,"CONOO","TDWG Level 4 code","native"
478,"ZAIOO","TDWG Level 4 code","native"
479,"ETHOO","TDWG Level 4 code","native"
480,"CMNOO","TDWG Level 4 code","native"
480,"ZAIOO","TDWG Level 4 code","native"
481,"ZAIOO","TDWG Level 4 code","native"
481,"UGAOO","TDWG Level 4 code","native"
481,"SOMOO","TDWG Level 4 code","native"
481,"TANOO","TDWG Level 4 code","native"
481,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
481,"MOZOO","TDWG Level 4 code","native"
481,"ETHOO","TDWG Level 4 code","native"
481,"NATOO","TDWG Level 4 code","native"
481,"ANGOO","TDWG Level 4 code","native"
481,"KENOO","TDWG Level 4 code","native"
481,"NAMOO","TDWG Level 4 code","native"
481,"MLWOO","TDWG Level 4 code","native"
482,"ZAIOO","TDWG Level 4 code","native"
482,"ZAMOO","TDWG Level 4 code","native"
482,"27","TDWG Level 4 code","native"
482,"BOTOO","TDWG Level 4 code","native"
482,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
482,"ZIMOO","TDWG Level 4 code","native"
482,"NATOO","TDWG Level 4 code","native"
482,"ANGOO","TDWG Level 4 code","native"
482,"KENOO","TDWG Level 4 code","native"
482,"NAMOO","TDWG Level 4 code","native"
483,"BENOO","TDWG Level 4 code","native"
483,"IVOOO","TDWG Level 4 code","native"
483,"LBROO","TDWG Level 4 code","native"
483,"NGAOO","TDWG Level 4 code","native"
483,"SIEOO","TDWG Level 4 code","native"
484,"ZIMOO","TDWG Level 4 code","native"
485,"ZAIOO","TDWG Level 4 code","native"
486,"ANGOO","TDWG Level 4 code","native"
487,"UGAOO","TDWG Level 4 code","native"
487,"ZAIOO","TDWG Level 4 code","native"
487,"ZAMOO","TDWG Level 4 code","native"
488,"TOGOO","TDWG Level 4 code","native"
489,"ZAIOO","TDWG Level 4 code","native"
490,"MDGOO","TDWG Level 4 code","native"
491,"ZAIOO","TDWG Level 4 code","native"
492,"ZAIOO","TDWG Level 4 code","native"
493,"KENOO","TDWG Level 4 code","native"
493,"TANOO","TDWG Level 4 code","native"
494,"MLWOO","TDWG Level 4 code","native"
495,"ANGOO","TDWG Level 4 code","native"
495,"ZAIOO","TDWG Level 4 code","native"
495,"ZAMOO","TDWG Level 4 code","native"
495,"ZIMOO","TDWG Level 4 code","native"
496,"ZAIOO","TDWG Level 4 code","native"
497,"ZAIOO","TDWG Level 4 code","native"
498,"ANGOO","TDWG Level 4 code","native"
498,"CPPEC,CPPNC,CPPWC,NATOO,OFSOO,TVLGA,TVLMP,TVLNP,TVLNW","TDWG Level 4 code","native"
498,"NAMOO","TDWG Level 4 code","native"
498,"ZAIOO","TDWG Level 4 code","native"
499,"ANGOO","TDWG Level 4 code","native"
499,"ZAIOO","TDWG Level 4 code","native"
499,"ZAMOO","TDWG Level 4 code","native"
499,"ZIMOO","TDWG Level 4 code","native"
