"ReferenceID","Authors","Year","Title","Details"
2340,"Soulier-Perkins A.",2009,"Machaerotidae (Hemiptera: Auchenorrhyncha: Cercopoidea): what the literature tells us about the phylogeny?","5th European Hemiptera Congress, 31 August- 4 September 2009, Velence, Hungary, Abstracts: 39."
2341,"Dumbleton L. J. &  ",1950,"A new sub-species of Lallemandana fenestrata (F.) (Homoptera: Cercopidae)","Proceedings of the Hawaiian Entomological Society. Honolulu, 14: 59-61."
2342,"Synave H.",1957,"Homoptera: Cercopidae","Insects Micronesia, 6(4): 213-230."
2343,"Evans J. W.",1970,"A new species of Machaerotidae from Australia (Homoptera: Cercopoidea)","Proceedings of the Royal Society of Queensland. Brisbane, 81(8): 83-84."
2344,"Liang A-P",2003,"A new tibial gland in male spittlebugs with descriptions of two new species of Augustohahnia Schmidt (Hemiptera: Cercopidae) from New Guinea","Journal of Zoology. London, 261: 173-180."
2345,"Liang A-P",1996,"Notes on the spittlebug genus Ectemnonotum (Homoptera: Cercopidae)","Entomological News. Published by the American Entomological Society. Philadelphia, 107: 113-118."
2346,"Liang A-P",1998,"Cladistic biogeography of Cercopoidea and Fulgoroidea (Insecta: Homoptera) in China and adjacent regions","Acta Zootaxonomica Sinica, 23: 133-166."
2347,"Lallemand V. & Synave H.",1953,"Note sur Cosmoscarta carinata STAL (Fam. Cercopidae) (Hemiptera-Homoptera)","Bulletin et Annales de la Société Entomologique de Belgique, 89: 115-116."
2348,"Sakakibara A.",1977,"Notas sobre o gênero Tomaspis Am. & Serv. e descrção de um n. gen. e n. sp. (Homoptera-Cercopidae)","Dusenia, 10: 109-115."
2349,"Carvalho G. & Sakakibara A.",1999,"Seis espécies novas de Sphenorhina Amyot & Serville (Hemiptera, Cercopidae, Tomaspidinae)","Revista Brasileira de Biologia, São Carlos, 16(supl. 2): 91-99."
1716,"Lallemand V.",1927,"Descriptions de Cercopides nouveaux provenant de la collections du British Muséum","Transactions of the Entomological Society of London, 1: 99-118."
2350,"Carvalho G.",1991,"Duas novas espécies de Tunaima Fennah, 1968 (Homoptera, Cercopidae)","Revista brasileira de zoologia, Curitiba, 7(3): 259-265."
2351,"Kirkaldy G. W.",1909,"A list of the Hemiptera (excluding Srenorrhyncha) of the Maorian Subregion, with notes on a few of the species","Transactions and Proceedings of the New Zealand Institute. Wellington, 41: 22-29."
2193,"Distant W. L.",1879,"Hemiptera from Upper Tenasserim","Journal of the Asiatic Society of Bengal, 48: 37-41."
873,"Linné C.",1758,"II. Hemiptera","In:  Linné C. 1758 -  Systema Naturae. Editio Decima, reformata, 1. p. 434-439."
576,"Fabricius J. C.",1803,"Rhyngota","In:  Fabricius J. C. 1803 -  Systema Rhyngotorum secundum ordines, genera, species, adiectis synonymis, locis, observationibus, descriptionibus, 1803. p. 1-101."
1760,"Lallemand V.",1933,"Description de quelques nouveaux Cercopides Malais.","Journal of the Federated Malay States Museums. Kuala Lumpur, 17: 375-376."
758,"Matsumura S.",1906,"Die Hemipteren Fauna von Riukiu (Okinawa)","Transactions of the Sapporo Natural History Society. Sapporo, 1: 15-38."
1103,"Jacobi A.",1936,"Homoptera (Rhynchota) aus Angola","Arquivos do Museu Bocage. Lisboa, 7: 37-44."
2072,"Distant W. L.",1908,"Rhynchota-Homoptera. The fauna of British India including Ceylon and Burma","4: 501 pp. by Lt. Col. C. T. Bingham."
1832,"Baker C. F.",1919,"The Malayan Machaerotinae (Cercopidae).","Philippine Journal of Science. Manila, 15: 67-80."
1833,"Lallemand V.",1942,"Cercopides du Muséum de Paris.","Bulletin du Muséum National d'Histoire Naturelle. Paris. (Ser. 2), 14: 428-432."
1834,"Signoret V.",1879,"Quelques espèces nouvelles ou peu connues d'Hémiptères.","Bulletin de la Société Entomologique de France. (Ser. 5), 9: 1."
1835,"Westwood J. O.",1886,"Notice of a tube-making Homopterous insect from Ceylon.","Transactions of the Entomological Society of London, 1886: 329-333."
1836,"Williams C. B.",1921,"Report on the froghopper-blight of sugar-cane in Trinidad.","Memoirs of the Department of Agriculture Trinidad and Tobago. Trinidad, 1: 11-170."
1837,"Buckton G. B.",1903,"A monograph of the Membracidae.","A monograph of the Membracidae, 1903: 181-296."
1838,"Kato M.",1931,"Notes on a new Machaerotid from Honshiu.","Mushi.(Kyushu Imperial University,Entomological Laboratory). Fukuoka, Japan., 4: 60-62."
1839,"Kato M.",1952,"On the family Machaerotidae in Japan.","Tokyo Soc. Biol. Ed. Mem. Bul., 6: 38-40."
1840,"Noualhier J. M. & Martin J.",1904,"Etudes diverses. Recherches sur l'histoire naturelle de l'Indo-Chine Orientale.","3"
1956,"Lallemand V.",1931,"Description de deux nouveaux Cercopides de Célèbes.","Bulletin et Annales de la Société Entomologique de Belgique. Bruxelles, 71: 75-76."
1844,"Turton W.",1802,"Order II. Hemiptera. a general system of nature, through the three grand kingdoms of animals, vegetables, and minerals.","2: 719 pp."
1845,"Metcalf Z. P.",1963,"General Catalogue of the Homoptera. Fascicule VII.","North Carolina State College, Raleigh (United States of America)."
1846,"Metcalf Z. P.",1961,"Part 2. Cercopidae.","In:  Metcalf Z. P. 1963 -  General Catalogue of the Homoptera. Fascicule VII., North Carolina State College, Raleigh(United States of America). p. 1-607."
1847,"Metcalf Z. P.",1960,"Part 1. Machaerotidae","In:  Metcalf Z. P. 1963 -  General Catalogue of the Homoptera. Fascicule VII., North Carolina State College, Raleigh(United States of America). p. 1-49."
1848,"Metcalf Z. P.",1962,"Part 3. Aphrophoridae.","In:  Metcalf Z. P. 1963 -  General Catalogue of the Homoptera. Fascicule VII., North Carolina State College, Raleigh(United States of America). p. 1-600."
1850,"Liu G. K-C.",1942,"Biological notes on the long-legged genera of Cercopidae with description of a new species.","Lingnan Science Journal. Canton, China, 20: 239-244."
1851,"Melichar L.",1921,"Eine neue Art der Gattung Abidama (Cercop.).","Wiener Entomologische Zeitung. Wien, 38: 100."
8,"Distant W. L.",1916,"Rhynchota, Homoptera: Appendix","In:  Distant W. L. 1916 -  The fauna of British India, including Ceylon and Burma, 6. Secretary of State for India in Council. p. 1-248."
1852,"Schmidt E.",1927,"Zur Kenntnis der Cercopiden des indoaustralischen Faunengebietes (Homoptera).","Entomologische Rundschau. Stuttgart, 44: 9-11."
2223,"Clausen C. P.",1931,"Insects injurious to agriculture in Japan","Circular. United States Department of Agriculture. Washington, 168: 1-116."
2224,"Distant W. L.",1879,"Rhynchota","Scientific results of the second Yarkand mission / based upon the collections and notes of the late Ferdinand Stoliczka, Ph. D, 1879: 1-15."
1853,"Schmidt E.",1909,"Neue Cercopiden.","Entomologische Zeitung. Herausgegeben von dem entomologischen Vereine zu Stettin. Stettin, 70: 239-244."
1854,"Schmidt E.",1910,"Considia unimaculata, eine neue Cercopine von Sumatra (Hemiptera-Homoptera).","Entomologische Zeitung. Herausgegeben von dem entomologischen Vereine zu Stettin. Stettin, 71: 382-383."
1855,"Lallemand V.",1929,"Cercopides Africains nouveaux.","Revue de Zoologie et de Botanique Africaines. Ostend, 18: 213-219."
1856,"Schouteden H.",1901,"Hemiptera Africana.","Annales de la Société entomologique de Belgique. Bruxelles, 45: 118-122."
1857,"Lallemand V.",1923,"Notes sur les Cercopides africains.","Annals and Magazine of Natural History. London. (Ser. 9), 11: 230-235."
1859,"Distant W. L.",1893,"Description of a new species of South African Homoptera.","Entomologist's Monthly Magazine. London, 29: 182."
1860,"Lallemand V.",1910,"Diagnoses de Cercopides africains nouveaux.","Annales de la Société entomologique de Belgique. Bruxelles, 54: 45-48."
1861,"Lethierry L. F.",1883,"Emitteri in Spedizione Italiana nell'Africa Equatoriale risultati zoologici. Parte seconda.","Annali del Museo civico di Storia Naturale di Genova. Genova, 18: 741-756."
1862,"Lallemand V.",1928,"Description de nouveaux Homoptères du Muséum de Londres.","Annals and Magazine of Natural History. London. (Ser. 10), 1: 634-638."
1863,"Jacobi A.",1910,"Neue zikaden von Ostafrica.","Sitzungsberichte der Gesellschaft naturforschender Freunde zu Berlin. Berlin, 1910: 299-305."
1864,"Jacobi A.",1904,"Ueber ostafrikanische Homopteren.","Sitzungsberichte der Gesellschaft naturforschender Freunde zu Berlin. Berlin, 1904: 14-17."
1865,"Schumacher F.",1912,"Über eine Hemipterenausbeute, gesammelt von Herrn E. Hintz im Kamerungebirge.","Mitteilungen aus dem Zoologischen Museum in Berlin. Berlin, 6: 313-323."
1866,"Peters W. C. H.",1862,"Naturwissenschaftliche Reise nach Mossambique auf Befehl seiner Majestät des Königs Friedrich Wilhelm IV in den Jahren 1842 bis 1848.","5: 566 pp."
1867,"Schaum H. R.",1862,"Hemiptera. Halbflüger.","In:  Peters W. C. H. 1862 -  Naturwissenschaftliche Reise nach Mossambique auf Befehl seiner Majestät des Königs Friedrich Wilhelm IV in den Jahren 1842 bis 1848., 5. p. 50-56."
1868,"Nast J.",1949,"On some Neotropical Cercopinae with descriptionjs of two new species (Homoptera, Cercopidae).","Annals and Magazine of Natural History. London. (Ser. 12), 2: 474-478."
1737,"Lallemand V.",1924,"Notes sur les Cercopides de l'Amérique Centrale et Méridionale de la collection de M. C. B. Williams et de la mienne.","Annals and Magazine of Natural History. London. (Ser. 9), 14: 477-486."
2226,"Bergroth E.",1915,"Hemiptera from the Bombay Presidency","Journal of the Bombay Natural History Society. Bombay, 24: 170-179."
1869,"Waterhouse C. O.",1884,"Phromnia rubicunda, Sphenorhina bogatana, Clonia lurida, Aphaena chionaema, Platypleura signifera and Platypleura fulvigera.","Aid to the identification of insects, 21: 152."
1870,"Breddin G.",1904,"Einige südamerikanische Cercopiden.","Societas Entomologica. Organ für den internationalen Entomologenverein, 19: 58-59."
1871,"Westwood J. O.",1838,"The entomologist's text book; an introduction to the natural history, structure, physiology, and classification of insects, including the Crustacea and Arachnida.","432 pp."
1873,"Schmidt E.",1922,"Beiträge zur Kenntnis aussereuropäischer Zikaden. (Rhynchota, Homoptera). XV. Laccogrypota trimaculata und Tomaspis rufifrons, zwei neue Cercopidenarten aus dem Museum Sao Paulo  (Brasilien).","Archiv für Naturgeschichte. Berlin, 88: 175-176."
1874,"Goding F. W.",1895,"Synopsis of the subfamilies and genera of the North American Cercopidae, with a bibliographical and synonymical catalogue of the described species of North America. III.","Bulletin from the laboratories of natural history of the State University of Iowa, 3: 483-501."
1875,"Goding F. W.",1923,"Sinopsis de los Cercopidae del Ecuador.","Revista del Colegio Nacional Vicente Rocafuerte. Guayaquil, Ecaudor, 5: 45-52."
1876,"Distant W. L.",1900,"Contributions to a knowledge of the Rhynchota. I. Eastern Cercopidae; II. Rhynchota of Central America.","Transactions of the Entomological Society of London, 1900: 665-697."
1877,"Franco E.",1953,"Estudo sobre a cigarrinha dos canaviais.","Pub. Posto Def. Agr. Sergipe, 1: 1-75."
1878,"Fowler W. W.",1897,"Order Rhynchota. Suborder Hemiptera-Homoptera. (Continued).","Biologia Centrali-Americana; contributions to the knowledge of the fauna and flora of Mexico and Central America, 2: 169-184."
1879,"Box H. E.",1929,"Una relacion de nuestros conocimientos de la familia Cercopidae en la Argentina. Con un informe sobre tres especies de Tomaspis, Am. & Serv., que atacan la cana de azucar en las provincias del Norte.","Revista Industrial y Agricola de Tucuman. Publicacion de la Estacion Experimental Agricola de la Provincia de Tucuman. Buenos Aires., 20: 5-17."
