"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
3972,1258,"Gynopygoplax","","costalis","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
3969,1258,"Tomaspis","","costalis","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
3988,1294,"Cosmoscarta","","semicincta","(Walker, 1870)","",,"","new combination, valid: No","Unambiguous Synonym",
3995,1378,"Cosmoscarta","","ferruginea","(Walker, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
4007,1436,"Cosmoscarta","","xanthomelaena","(White, 1845)","",,"","new combination, valid: No","Unambiguous Synonym",
4008,1439,"Cosmoscarta","","semilurida","(Walker, 1870)","",,"","new combination, valid: No","Unambiguous Synonym",
2570,1598,"Cercopis","","unifascia","Walker, 1870","",,"","original combination, valid: No","Unambiguous Synonym",
4027,1704,"Leptataspis","","lurida","(Atkinson, 1889)","",,"","new combination, valid: No","Unambiguous Synonym",
4029,1788,"Cosmoscarta","","lateralis","(Walker, 1870)","",,"","new combination, valid: No","Unambiguous Synonym",
4030,1788,"Leptataspis","","lateralis","(Walker, 1870)","",,"","new combination, valid: No","Unambiguous Synonym",
3172,1936,"Cercopis","","nebulosa","Fabricius, 1794","",,"","original combination, valid: No","Unambiguous Synonym",
4045,2122,"Clovia","","orientalis","(Stål, 1859)","",,"","new combination, valid: No","Unambiguous Synonym",
4079,2321,"Aphrophora","","carixia","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
3872,3244,"Tomaspis","","semifascia","(Walker, 1858)","",,"","new combination, valid: No","Unambiguous Synonym",
4103,2329,"Euclovia","","medius","(Matsumura, 1904)","",,"","new combination, valid: No","Unambiguous Synonym",
570,397,"Machaerota","","luzonensis","Schmidt, 1907","",,"","original combination, valid: No","Unambiguous Synonym",
4621,2696,"Aphrophora","","maritima","Matsumura, 1903","",,"","original combination, valid: No","Unambiguous Synonym",
56,2732,"Polychaetophyes","","aequalior","Kirkaldy, 1906","",,"","original combination, valid: No","Unambiguous Synonym",
501,2732,"Hindola","","sorurcula","(Spangberg, 1878)","",,"","new combination, valid: No","Unambiguous Synonym",
60,2732,"Hindola","","pectinaria","(Kirkaldy, 1906)","",,"","new combination, valid: No","Unambiguous Synonym",
62,2732,"Pectinariophyes","","pectinaria","Kirkaldy, 1906","",,"","original combination, valid: No","Unambiguous Synonym",
830,573,"Ischnorhina","","bogotana","(Distant, 1878)","",,"","new combination, valid: No","Unambiguous Synonym",
828,573,"Sphenorhina","","bogotana","Distant, 1878","",,"","original combination, valid: No","Unambiguous Synonym",
1128,748,"Triecphora","","daltoni","Distant, 1908","",,"","original combination, valid: No","Unambiguous Synonym",
1129,748,"Locris","","pulverosula","Lallemand, 1923","",,"","original combination, valid: No","Unambiguous Synonym",
1377,864,"Cercopis","","bicincta","Say, 1830","",,"","original combination, valid: No","Unambiguous Synonym",
3886,864,"Triecphora","","bicincta","(Say, 1830)","",,"","new combination, valid: No","Unambiguous Synonym",
1379,864,"Tomaspis","","bicincta","(Say, 1830)","",,"","new combination, valid: No","Unambiguous Synonym",
1378,864,"Monecphora","","bicincta","(Say, 1830)","",,"","new combination, valid: No","Unambiguous Synonym",
1381,864,"Tomaspis","","fasciaticollis","Stål, 1864","",,"","original combination, valid: No","Unambiguous Synonym",
1380,864,"Monecphora","","neglecta","Walker, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
513,2731,"Carystus","","reticulatus","Spangberg, 1878","",,"","original combination, valid: No","Unambiguous Synonym",
500,2738,"Hindola","","notanda","(Distant, 1916)","",,"","new combination, valid: No","Unambiguous Synonym",
506,2738,"Xenaias","","notandus","Distant, 1916","",,"","original combination, valid: No","Unambiguous Synonym",
57,2739,"Hindola","","antica","(Jacobi, 1921)","",,"","new combination, valid: No","Unambiguous Synonym",
59,2739,"Pectinariophyes","","antica","Jacobi, 1921","",,"","original combination, valid: No","Unambiguous Synonym",
491,2740,"Hindola","","luzonensis","Baker, 1927","",,"","original combination, valid: No","Unambiguous Synonym",
490,2743,"Hindola","","hyalinipennis","(Stål, 1855)","",,"","new combination, valid: No","Unambiguous Synonym",
496,2743,"Carystus","","hyalinopterus","Stål, 1866","",,"","original combination, valid: No","Unambiguous Synonym",
495,2743,"Carystus","","hyalinipennis","(Stål, 1855)","",,"","new combination, valid: No","Unambiguous Synonym",
493,2743,"Ptyelus","","hyalinipennis","Stål, 1855","",,"","original combination, valid: No","Unambiguous Synonym",
483,2743,"Hindola","","fasciata","Lallemand, 1955","",,"","original combination, valid: No","Unambiguous Synonym",
492,2746,"Hindola","","lucida","Distant, 1916","",,"","original combination, valid: No","Unambiguous Synonym",
474,2750,"Aphrophora","","admittens","Walker, 1858","",,"","original combination, valid: No","Unambiguous Synonym",
