"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
1,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Achilidae","Cixidia","","genei","(Spinola, 1839)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=1094&page=explorer&db=flow",,
2,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Lalacidae†","Ancorale†","","aschemon","Hamilton, 1990","original combination, valid: Yes","Accepted name",0,1,0,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=1557&page=explorer&db=flow",,
3,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Lalacidae†","Ancorale†","","flaccidum","Hamilton, 1990","original combination, valid: Yes","Accepted name",0,1,0,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=1558&page=explorer&db=flow",,
4,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Lalacidae†","Lalax†","","mutabilis","Hamilton, 1990","original combination, valid: Yes","Accepted name",0,1,0,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=1564&page=explorer&db=flow",,
5,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Kinnaridae","Atopocixius","","melanocephalus","Fennah, 1945","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=159&page=explorer&db=flow",,
6,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Kinnaridae","Atopocixius","","ornatus","Muir, 1926","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=199&page=explorer&db=flow",,
7,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Kinnaridae","Bashgultala","","clara","Dlabola, 1957","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=59&page=explorer&db=flow",,
8,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Kinnaridae","Bashgultala","","ferulina","Emeljanov, 1990","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=84&page=explorer&db=flow",,
9,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Kinnaridae","Dineparmene","","cubana","(Myers, 1928)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=66&page=explorer&db=flow",,
15,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Fulgoroidea","Cixiidae","Eparmene","","pulchella","Fowler, 1904","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Bourgoin Thierry","15/01/2015","http://hemiptera-databases.com/flow?lang=en&card=name&id=223&page=explorer&db=flow",,
