"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
2776,3683,"Trioza","","tangae","Hollis, 1984","",,"","original combination, valid: No","Unambiguous Synonym",
2757,4322,"Trioza","","afrosersalisia","Hollis, 1984","",,"","original combination, valid: No","Unambiguous Synonym",
2755,4324,"Trioza","","gonjae","Hollis, 1984","",,"","original combination, valid: No","Unambiguous Synonym",
2758,4325,"Trioza","","mimusops","Hollis, 1984","",,"","original combination, valid: No","Unambiguous Synonym",
2974,4328,"Megatrioza","","bryani","Crawford, 1928","",,"","original combination, valid: No","Unambiguous Synonym",
2975,4329,"Trioza","","catillus","Tuthill, 1964","",,"","original combination, valid: No","Unambiguous Synonym",
2976,4330,"Megatrioza","","concava","Tuthill, 1943","",,"","original combination, valid: No","Unambiguous Synonym",
2991,4334,"Megatrioza","","swezeyi","Crawford, 1927","",,"","original combination, valid: No","Unambiguous Synonym",
1762,4351,"Rhombaphalara","","halocnemi","Loginova, 1964","",,"","original combination, valid: No","Unambiguous Synonym",
3088,1449,"Trioza","","salictaria","Loginova, 1964","",,"","original combination, valid: No","Unambiguous Synonym",
3279,3360,"Acaerus","","callygoni","(Baeva, 1965)","",,"","new combination, valid: No","Unambiguous Synonym",
3281,3361,"Acaerus","","deminutus","(Loginova, 1970)","",,"","new combination, valid: No","Unambiguous Synonym",
3283,3362,"Acaerus","","luridus","(Loginova, 1970)","",,"","new combination, valid: No","Unambiguous Synonym",
3286,3365,"Acaerus","","tumidulus","(Loginova, 1970)","",,"","new combination, valid: No","Unambiguous Synonym",
436,3398,"Psylla","Asphagidella","buxi","(Linné, 1758)","",,"","new combination, valid: No","Unambiguous Synonym",
3583,3364,"Acaerus","","negevensis","Burckhardt & Halperin, 1992","",,"","original combination, valid: No","Unambiguous Synonym",
3790,3726,"Euphalerus","","favis","Brown & Hodkinson, 1988","",,"","original combination, valid: No","Unambiguous Synonym",
3820,3729,"Limbopsylla","","boquetensis","Brown & Hodkinson, 1988","",,"","original combination, valid: No","Unambiguous Synonym",
3791,3855,"Euphalerus","","fossiconis","Brown & Hodkinson, 1988","",,"","original combination, valid: No","Unambiguous Synonym",
3782,4296,"Paurocephala","","paucivena","Brown & Hodkinson, 1988","",,"","original combination, valid: No","Unambiguous Synonym",
3874,3409,"Trioza","","obliqua","Thomson, 1877","",,"","original combination, valid: No","Unambiguous Synonym",
758,3416,"Trioza","","tripunctata","(Fitch, 1851)","",,"","new combination, valid: No","Unambiguous Synonym",
3980,3723,"Paurocephala","","crassiflagellata","Burckhardt, 1996","",,"","original combination, valid: No","Unambiguous Synonym",
1139,904,"Neophacopteron","","euphoriae","Yang, 1984","",,"","original combination, valid: No","Unambiguous Synonym",
1525,3366,"Acaerus","","turkestanica","(Löw, 1881)","",,"","new combination, valid: No","Unambiguous Synonym",
4124,3388,"Edentatipsylla","","shanghaiensis","Li & Chen, 2008","",,"","original combination, valid: No","Unambiguous Synonym",
4337,3339,"Mastigimas","","longilabiata","(Li, 1991)","",,"","new combination, valid: No","Unambiguous Synonym",
4318,3457,"Trioza","","bimaculata","Li, 1989","",,"","original combination, valid: No","Unambiguous Synonym",
4317,3506,"Trioza","","camplurigra","Li, 1989","",,"","original combination, valid: No","Unambiguous Synonym",
4240,3606,"Psylla","","nasuta","Horváth, 1904","",,"","original combination, valid: No","Unambiguous Synonym",
4325,3410,"Indotrioza","","hirsuta","Kandasamy, 1986","",,"","original combination, valid: No","Unambiguous Synonym",
4371,3368,"Primascena","","subita","Klimaszewski, 1998","",,"","original combination, valid: No","Unambiguous Synonym",
4415,3344,"Euryopsylla","","pandai","Li, 2011","",,"","original combination, valid: No","Unambiguous Synonym",
4398,3408,"Hippophaetrioza","Maculatrioza","maculata","Li & Yang, 1990","",,"","original combination, valid: No","Unambiguous Synonym",
4668,86,"Diaphorina","","citri","Kuwayama","",,"","original combination, valid: No","Unambiguous Synonym",
4670,2166,"Bactericerca","","cockerelli","(Šulc)","",,"","new combination, valid: No","Unambiguous Synonym",
4683,2589,"Cacopsylla","","pyrisuga","","",,"","original combination, valid: No","Unambiguous Synonym",
4684,2568,"Cacopsylla","","pyricola","","",,"","original combination, valid: No","Unambiguous Synonym",
4671,2567,"Cacopsylla","","pyri","(L.)","",,"","new combination, valid: No","Unambiguous Synonym",
4673,2567,"Cacopsylla","","pyri","L.","",,"","original combination, valid: No","Unambiguous Synonym",
4674,400,"Cacopsylla","","mali","Schmidberger","",,"","original combination, valid: No","Unambiguous Synonym",
4675,526,"Heteropsylla","","texana","","",,"","original combination, valid: No","Unambiguous Synonym",
4566,856,"Aphalara","","soosi","Klimaszewski, 1969","",,"","original combination, valid: No","Unambiguous Synonym",
4676,1770,"Ctenarytaina","","thysanura","","",,"","original combination, valid: No","Unambiguous Synonym",
4677,523,"Heteropsylla","","cubana","","",,"","original combination, valid: No","Unambiguous Synonym",
4678,86,"Diaphorina","","citri","","",,"","original combination, valid: No","Unambiguous Synonym",
4679,1728,"Boreioglycaspis","","melaleucae","","",,"","original combination, valid: No","Unambiguous Synonym",
4680,1256,"Agonoscena","","pistaciae","Burckhardt & Lauterer","",,"","original combination, valid: No","Unambiguous Synonym",
2274,1771,"Callistochermes","","rubrovariegata","Kirkaldy, 1905","",,"","original combination, valid: No","Unambiguous Synonym",
4681,400,"Cacopsylla","","mali","","",,"","original combination, valid: No","Unambiguous Synonym",
4682,2567,"Cacopsylla","","pyri","","",,"","original combination, valid: No","Unambiguous Synonym",
4685,1603,"Trioza","","erytreae","(Del Guercio)","",,"","new combination, valid: No","Unambiguous Synonym",
4686,1173,"Trioza","","jambolanae","Crawford","",,"","original combination, valid: No","Unambiguous Synonym",
761,535,"Vailakiella","","eos","Bliven, 1955","",,"","original combination, valid: No","Unambiguous Synonym",
4689,450,"Acizzia","","acaciaebaileyana","(Froggatt, 1901)","",,"","new combination, valid: No","Unambiguous Synonym",
4523,3369,"Marpsylla","","baltazarae","Navasero & Calilung, 2001","",,"","original combination, valid: No","Unambiguous Synonym",
4532,3370,"Marpsylla","","brevicephala","(Crawford, 1917)","",,"","new combination, valid: No","Unambiguous Synonym",
4512,3374,"Pauroterga","","zamboangensis","Navasero, 2010","",,"","original combination, valid: No","Unambiguous Synonym",
4672,3424,"Trioza","","vitrioradiata","","",,"","original combination, valid: No","Unambiguous Synonym",
4525,3433,"Triozidus","","acanthopanaicis","Li, 1994","",,"","original combination, valid: No","Unambiguous Synonym",
4571,3671,"Euphalerus","","jugovenosus","Tuthill, 1937","",,"","original combination, valid: No","Unambiguous Synonym",
636,3672,"Euphalerus","","nepos","Bliven, 1956","",,"","original combination, valid: No","Unambiguous Synonym",
3035,343,"Aphalara","","curta","","californica",,"Caldwell, 1937","original combination, valid: No","Unambiguous Synonym",
401,359,"Aphalaroida","","intermedia","Klyver, 1931","",,"","original combination, valid: No","Unambiguous Synonym",
