"AcceptedTaxonID","ParentSpeciesID","InfraSpeciesEpithet","InfraSpeciesAuthorString","InfraSpeciesMarker","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","InfraSpeciesURL","GSDTaxonGUI","GSDNameGUI"
2662,1195,"inflata","(Drake & Poor, 1937)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2661",,
2663,342,"ditata","(Puton, 1879)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2662",,
2664,342,"triseriata","Stichel, 1960",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2663",,
2665,378,"plana","Drake, 1953",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2664",,
2666,458,"apicorne","(Horváth, 1905)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2665",,
2667,473,"collare","(Horváth, 1905)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2666",,
2668,442,"imbecillum","(Horváth, 1905)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2667",,
2669,489,"instabile","Linnavuori, 1977",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2668",,
2670,427,"mendax","(Horváth, 1906)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2669",,
2671,427,"pallens","(Horváth, 1906)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2670",,
2672,475,"pictum","(Schouteden, 1955)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2671",,
2673,448,"popii","(Horváth, 1906)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2672",,
2674,563,"septuosus","Drake & Ruhoff, 1916",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2673",,
2675,547,"tricarinatus","(Schouteden, 1953)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2674",,
2676,,"","",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=",,
2677,659,"adelpha","Horváth, 1905",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2676",,
2678,682,"cognata","Horváth, 1905",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2677",,
2679,,"","",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=",,
2680,684,"diminuta","Horváth, 1905",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2679",,
2681,684,"humilis","Horváth, 1905",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2680",,
2682,689,"latipennis","Horváth, 1892",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2681",,
2683,680,"miridita","Horváth, 1905",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2682",,
2684,680,"suspecta","Horváth, 1892",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2683",,
2685,739,"furtivus","Drake, 1950",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2684",,
2686,734,"nubilis","Horváth, 1906",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2685",,
2687,706,"tricarinatus","Drake, 1951",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2686",,
2688,750,"albidus","(Herrich-Schaeffer, 1838)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2687",,
2689,762,"biseriata","Lindberg, 1936",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2688",,
2690,750,"intermedius","Vidal, 1937",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2689",,
2691,759,"pallens","Dobsik, 1951",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2690",,
2692,747,"syriacus","Horváth, 1906",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2691",,
2693,822,"biseriata","Drake, 1948",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2692",,
2694,823,"brevicarinata","Schouteden, 1923",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2693",,
2695,822,"carinata","Drake, 1958",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2694",,
2696,823,"funebris","Schouteden, 1923",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2695",,
2697,819,"simulens","Horváth, 1910",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2696",,
2698,822,"teres","Drake, 1948",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Guilbert Eric","15/01/2015",http://hemiptera-databases.com/tingidae?lang=en&card=name&id=2697",,
