"AcceptedTaxonID","Kingdom","Phylum","Class","Order","Superfamily","Family","Genus","SubGenusName","Species","AuthorString","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","SpeciesURL","GSDTaxonGUI","GSDNameGUI"
164,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acanthaleyrodes","","callicarpae","Takahashi, 1931","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=164",,
165,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acanthaleyrodes","","styraci","Takahashi, 1942","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=165",,
166,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acanthobemisia","","distylii","Takahashi, 1935","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=166",,
167,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acanthobemisia","","indicus","Meganathan & David, 1994","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=167",,
168,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acaudaleyrodes","","africanus","(Dozier, 1934)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=168",,
169,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acaudaleyrodes","","ebeni","Manzari & Alemansoor, 2005","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=169",,
170,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acaudaleyrodes","","pauliani","Takahashi, 1951","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=170",,
171,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acaudaleyrodes","","rachipora","(Singh, 1931)","new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=171",,
172,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acaudaleyrodes","","tuberculata","Bink-Moenen, 1983","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=172",,
173,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Acutaleyrodes","","palmae","Takahashi, 1960","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=173",,
174,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Africaleurodes","","adami","Cohic, 1968","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=174",,
175,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Africaleurodes","","ananthakrishnani","Dubey & Sundararaj, 2006","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=175",,
176,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Africaleurodes","","balachowskyi","Cohic, 1968","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=176",,
177,"Eukarya","Arthropoda","Hexapoda","Hemiptera","Aleyrodoidea","Aleyrodidae","Africaleurodes","","capgrasi","Cohic, 1968","original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Martin Jon H.","15/05/2014","http://www.hemiptera-databases.com/whiteflies?lang=en&card=name&id=177",,
