"ReferenceID","Authors","Year","Title","Details"
298,"Regu K. & David B. V.",1991,"A new species of <i>Bemisia</i> (Homoptera: Aleyrodidae) from India with a key to Indian species","Entomon, Kariavattom, 16: 77-81."
523,"Hernández-Suárez E., Martin J. H., Gill R. J., Bedford I. D., Malumphy C. P., Betancort J. A. R. & Carnero A.",2012,"The Aleyrodidae (Hemiptera: Sternorrhyncha) of the Canary Islands with special reference to <i>Aleyrodes</i>, <i>Siphoninus</i>, and the challenges of puparial morphology in <i>Bemisia</i>","Zootaxa, 3212: 1-76."
110,"David B. V. & Winstone A. A.",1988,"A new whitefly <i>Bemisia graminis</i> sp. nov. (Aleyrodidae: Homoptera) from India","Entomon, Kariavattom, 13: 33-35."
515,"Martin J. H. & Mound L. A.",2007,"An annotated check list of the world's whiteflies (Insecta : Hemiptera : Aleyrodidae)","Zootaxa, 1492: 1-84."
516,"Burmeister H.",1835,"Handbuch der Entomologie","400 pp. Gustav Reimer, Berlin (Germany)."
517,"Cohic F.",1959,"Aleyrodidae actuellement connus de Nouvelle-Calédonie et dépendances","L'Agronomie Tropicale, 14: 242-243."
518,"Mamet R.",1952,"A note on Stenaleyrodes vinsoni Takahashi (Hemiptera : Aleyrodidae)","Proceedings of the Royal Entomological Society of London (B), 21: 134-134."
520,"Risbec J.",1944,"Observations sur les insectes des plantations en Nouvelle-Calédonie","128 pp. 1942, Paris (France)."
238,"Martin J. H. & Streito J.-C.",2003,"A second species of the enigmatic whitefly genus <i>Stenaleyrodes</i> Takahashi (Sternorrhyncha, Aleyrodidae)","Zootaxa, 349: 1-15."
471,"Latreille P. A.",1807,"Genera Crustaceorum et Insectorum secundum ordinem naturalem in familias disposita, iconibus exemplisque plurimis explicata","A. Koenig, Paris (France)."
521,"Manzari S. & Quicke D. L. J.",2006,"A cladistic analysis of whiteflies, subfamily Aleyrodinae (Hemiptera: Sternorrhyncha: Aleyrodidae)","Journal of Natural History, 40: 2423-2554."
519,"Cohic F.",1968,"A propos de Dialeurodicus elongatus Dumbl. et de Stenaleyrodes vinsoni Tak. Aleurodes parasites des palmiers","Annales de l'Université d'Abidjan . Série E . Ecologie, 1: 9-17."
522,"Martin J. H.",2008,"A revision of Aleurodicus Douglas (Sternorrhyncha, Aleyrodidae), with two new genera proposed for palaeotropical natives and an identification guide to world genera of Aleurodicinae","Zootaxa, 1835: 1-100."
1,"Ardaillon J. B. & Cohic F.",1970,"Notes sur quelques aleurodes de la forêt du Banco (Côte d'Ivoire)","Annales de l'Université d'Abidjan (Entomologie), 3: 269-283."
2,"Ashby S. F.",1915,"Notes on diseases of cultivated crops observed in 1913-1914","Bulletin of the Department of Agriculture, Jamaica, 2: 299-327."
3,"Ashmead W. H.",1885,"The orange Aleurodes (Aleurodes citri n. sp.)","Florida Dispatch, 2: 704-704."
4,"Ashmead W. H.",1893,"Monograph of the North American Procotrypidae. Amitus Haldemann","Bulletin of the United States National Museum, 45: 292-294."
5,"Ashmead W. H.",1895,"Notes on cotton insects found in Mississippi","Insect Life, Washington, 7: 323-323."
6,"Back E. A.",1912,"Notes on Cuban whiteflies with descriptions of two species","Canadian Entomologist, 44: 145-153."
8,"Baker A. C.",1923,"An undescribed orange pest from Honduras","Journal of Agricultural Research, 25: 253-254."
9,"Baker A. C. & Moles M. L.",1920,"A new species of Aleyrodidae found on Azalea (Hom.)","Proceedings of the Entomological Society of Washington, 22: 81-83."
10,"Baker A. C. & Moles M. L.",1921,"The Aleyrodidae of South America, with descriptions of four new Chilean species","Revista Chilena de Historia Natural, 25: 609-648."
11,"Baker J. M.",1937,"Notes on some Mexican Aleyrodidae","Anales del Instituto de Biologia, Universidad de México, 8: 599-629."
13,"Bemis F. E.",1904,"The aleyrodids or mealy-winged flies of California with reference to other American species","Proceedings of the United States National Museum, 27: 471-537."
14,"Berger E. W.",1909,"Whitefly studies in 1908","Bulletin, Florida Agricultural Experiment Station, Gainesville, 97: 43-71."
15,"Bink-Moenen R. M.",1976,"A new whitefly of Erica tetralix: Trialeurodes ericae sp. n. (Homoptera, Aleyrodidae)","Entomologische Berichten, 36: 17-19."
16,"Bink-Moenen R. M.",1983,"Revision of the African whiteflies (Aleyrodidae)","Monografieën van de Nederlandse Entomologische Vereniging, Amsterdam, 10: 1-211."
17,"Bink-Moenen R. M.",1989,"A new species and new records of European whiteflies (Homoptera: Aleyodidae) from heathers (Erica spp.)","Entomolgist's Gazette, 40: 173-181."
18,"Bink-Moenen R. M.",1991,"Comparisons between Neopealius rubi and Bemisia tabaci in Europe (Homoptera: Aleyrodidae)","Entomologische Berichten, 51: 29-37."
19,"Bink-Moenen R. M.",1992,"Whitefly from Mediterranean evergreen oaks (Homoptera: Aleyrodidae)","Systematic Entomology, 17: 21-40."
20,"Bink-Moenen R. M. & Gerling D.",1992,"Aleyrodidae of Israel","Bolletino del Laboratorio di Entomologia Agraria 'Filippo Silvestri', 47: 3-49."
