"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
1138,1747,"Lipaleyrodes","","breyniae","(Singh, 1931)","",,"","new combination, valid: No","Unambiguous Synonym",
1140,1749,"Lipaleyrodes","","emiliae","Chen & Ko, 2006","",,"","original combination, valid: No","Unambiguous Synonym",
1141,1750,"Lipaleyrodes","","euphorbiae","David & Subramaniam, 1976","",,"","original combination, valid: No","Unambiguous Synonym",
1144,1752,"Lipaleyrodes","","phyllanthi","Takahashi, 1962","",,"","original combination, valid: No","Unambiguous Synonym",
1145,1753,"Lipaleyrodes","","vernoniae","David & Thenmozhi, 1995","",,"","original combination, valid: No","Unambiguous Synonym",
1338,1660,"Taiwanaleyrodes","","fici","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1339,1661,"Taiwanaleyrodes","","fletcheri","Sundararaj & David, 1992","",,"","original combination, valid: No","Unambiguous Synonym",
1341,1663,"Taiwanaleyrodes","","indica","(Singh, 1931)","",,"","new combination, valid: No","Unambiguous Synonym",
1343,1666,"Taiwanaleyrodes","","montanus","Takahashi, 1939","",,"","original combination, valid: No","Unambiguous Synonym",
1344,1670,"Taiwanaleyrodes","","srilankaensis","David, 1993","",,"","original combination, valid: No","Unambiguous Synonym",
1548,1547,"Aleurodicus","","iridescens","Cockerell, 1898","",,"","original combination, valid: No","Unambiguous Synonym",
1517,1720,"Zaphanera","","rhachisreticulata","Martin, 1999","",,"","original combination, valid: No","Unambiguous Synonym",
1518,1721,"Zaphanera","","splendida","Martin, 1999","",,"","original combination, valid: No","Unambiguous Synonym",
1519,1722,"Zaphanera","","wariensis","Martin, 1999","",,"","original combination, valid: No","Unambiguous Synonym",
1686,736,"Aleyrodes","","rubi","(Signoret, 1868)","",,"","new combination, valid: No","Unambiguous Synonym",
1687,736,"Aleyrodes","","xylostei","(Westhoff, 1887)","",,"","new combination, valid: No","Unambiguous Synonym",
1688,736,"Aleyrodes","","spiraeae","(Douglas, 1894)","",,"","new combination, valid: No","Unambiguous Synonym",
1689,736,"Aleyrodes","","menthae","(Haupt, 1934)","",,"","new combination, valid: No","Unambiguous Synonym",
1644,205,"Aleurocanthus","","cameroni","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1645,218,"Aleurocanthus","","yusopei","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1646,224,"Aleurocanthus","","nagpurensis","Raina, 1996","",,"","original combination, valid: No","Unambiguous Synonym",
1647,243,"Aleurocanthus","","obovalis","Corbett, 1926","",,"","original combination, valid: No","Unambiguous Synonym",
1648,258,"Aleurocanthus","","citricola","(Newstead, 1911)","",,"","new combination, valid: No","Unambiguous Synonym",
1649,258,"Aleurocanthus","","intermedius","(Silvestri, 1927)","",,"","new combination, valid: No","Unambiguous Synonym",
1650,258,"Aleurocanthus","","rosae","Singh, 1931","",,"","original combination, valid: No","Unambiguous Synonym",
1651,270,"Aleurocanthus","","punjabensis","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1652,270,"Aleurocanthus","","formosana","(Takahashi, 1935)","",,"","new combination, valid: No","Unambiguous Synonym",
1653,271,"Aleurocanthus","","hansfordi","Corbett, 1935","",,"","original combination, valid: No","Unambiguous Synonym",
1654,271,"Aleurocanthus","","aberrans","Cohic, 1968","",,"","original combination, valid: No","Unambiguous Synonym",
1856,283,"Aleurodes","","aceris","Bouché, 1851","",,"","original combination, valid: No","Unambiguous Synonym",
1858,283,"Lecanium","","complanatum","Baerensprung, 1849","",,"","original combination, valid: No","Unambiguous Synonym",
1691,736,"Aleyrodes","","lacombiensis","(Goux, 1988)","",,"","new combination, valid: No","Unambiguous Synonym",
1692,739,"Aleyrodes","","culiciformis","(Geoffroy, 1785)","",,"","new combination, valid: No","Unambiguous Synonym",
1693,739,"Aleyrodes","","prenanthis","(Schrank, 1801)","",,"","new combination, valid: No","Unambiguous Synonym",
1694,739,"Aleyrodes","","chelidonii","Latreille, 1807","",,"","original combination, valid: No","Unambiguous Synonym",
1695,739,"Aleyrodes","","brassicae","Walker, 1852","",,"","original combination, valid: No","Unambiguous Synonym",
1696,739,"Aleyrodes","","euphorbiae","(Löw, 1867)","",,"","new combination, valid: No","Unambiguous Synonym",
1697,739,"Aleyrodes","","youngi","(Hempel, 1901)","",,"","new combination, valid: No","Unambiguous Synonym",
1698,768,"Asterobemisia","","avellanae","(Signoret, 1868)","",,"","new combination, valid: No","Unambiguous Synonym",
1699,768,"Asterobemisia","","vaccinii","(Künow, 1880)","",,"","new combination, valid: No","Unambiguous Synonym",
1700,768,"Asterobemisia","","ribium","(Douglas, 1888)","",,"","new combination, valid: No","Unambiguous Synonym",
1701,768,"Asterobemisia","","rubicola","(Douglas, 1891)","",,"","new combination, valid: No","Unambiguous Synonym",
