"ID","Reference Type","ReferenceID"
334,"TaxAccRef",428
335,"TaxAccRef",403
336,"TaxAccRef",403
337,"TaxAccRef",283
338,"TaxAccRef",269
339,"TaxAccRef",356
340,"TaxAccRef",396
341,"TaxAccRef",396
342,"TaxAccRef",396
343,"TaxAccRef",396
344,"TaxAccRef",396
345,"TaxAccRef",396
346,"TaxAccRef",396
347,"TaxAccRef",396
348,"TaxAccRef",396
349,"TaxAccRef",338
351,"TaxAccRef",185
352,"TaxAccRef",185
353,"TaxAccRef",377
354,"TaxAccRef",377
355,"TaxAccRef",20
356,"TaxAccRef",20
357,"TaxAccRef",20
358,"TaxAccRef",20
359,"TaxAccRef",329
360,"TaxAccRef",329
361,"TaxAccRef",329
362,"TaxAccRef",109
363,"TaxAccRef",395
364,"TaxAccRef",395
365,"TaxAccRef",397
366,"TaxAccRef",397
367,"TaxAccRef",109
368,"TaxAccRef",422
369,"TaxAccRef",329
370,"TaxAccRef",65
371,"TaxAccRef",56
372,"TaxAccRef",323
373,"TaxAccRef",363
374,"TaxAccRef",118
739,"TaxAccRef",57
740,"TaxAccRef",58
741,"TaxAccRef",59
742,"TaxAccRef",57
743,"TaxAccRef",57
744,"TaxAccRef",57
745,"TaxAccRef",33
746,"TaxAccRef",58
747,"TaxAccRef",33
748,"TaxAccRef",58
749,"TaxAccRef",61
750,"TaxAccRef",57
751,"TaxAccRef",57
752,"TaxAccRef",57
753,"TaxAccRef",57
754,"TaxAccRef",57
755,"TaxAccRef",62
756,"TaxAccRef",57
757,"TaxAccRef",58
758,"TaxAccRef",58
759,"TaxAccRef",63
760,"TaxAccRef",134
761,"TaxAccRef",328
762,"TaxAccRef",42
763,"TaxAccRef",144
764,"TaxAccRef",321
765,"TaxAccRef",247
766,"TaxAccRef",63
767,"TaxAccRef",134
768,"TaxAccRef",205
769,"TaxAccRef",34
770,"TaxAccRef",194
771,"TaxAccRef",79
772,"TaxAccRef",357
773,"TaxAccRef",310
775,"TaxAccRef",358
776,"TaxAccRef",323
777,"TaxAccRef",139
778,"TaxAccRef",73
779,"TaxAccRef",139
780,"TaxAccRef",159
781,"TaxAccRef",87
782,"TaxAccRef",323
783,"TaxAccRef",327
784,"TaxAccRef",250
785,"TaxAccRef",360
786,"TaxAccRef",361
787,"TaxAccRef",357
788,"TaxAccRef",190
789,"TaxAccRef",147
790,"TaxAccRef",358
792,"TaxAccRef",362
793,"TaxAccRef",317
794,"TaxAccRef",341
796,"TaxAccRef",201
797,"TaxAccRef",357
798,"TaxAccRef",190
799,"TaxAccRef",8
800,"TaxAccRef",158
801,"TaxAccRef",168
802,"TaxAccRef",56
803,"TaxAccRef",64
804,"TaxAccRef",364
805,"TaxAccRef",360
806,"TaxAccRef",42
807,"TaxAccRef",147
808,"TaxAccRef",55
809,"TaxAccRef",156
810,"TaxAccRef",365
811,"TaxAccRef",360
812,"TaxAccRef",195
813,"TaxAccRef",190
814,"TaxAccRef",158
815,"TaxAccRef",363
816,"TaxAccRef",158
817,"TaxAccRef",318
818,"TaxAccRef",318
819,"TaxAccRef",318
820,"TaxAccRef",192
822,"TaxAccRef",69
823,"TaxAccRef",366
824,"TaxAccRef",228
825,"TaxAccRef",190
826,"TaxAccRef",358
827,"TaxAccRef",367
828,"TaxAccRef",331
829,"TaxAccRef",136
830,"TaxAccRef",330
