"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
1,"PEROO","TDWG Level 4 code","native"
1,"CLMOO","TDWG Level 4 code","native"
1,"PANOO","TDWG Level 4 code","native"
1,"84","TDWG Level 4 code","native"
1,"BOLOO","TDWG Level 4 code","native"
1,"VENOO","TDWG Level 4 code","native"
2,"CLMOO","TDWG Level 4 code","native"
2,"VENOO","TDWG Level 4 code","native"
3,"84","TDWG Level 4 code","native"
4,"84","TDWG Level 4 code","native"
4,"BOLOO","TDWG Level 4 code","native"
4,"PAROO","TDWG Level 4 code","native"
5,"84","TDWG Level 4 code","native"
6,"84","TDWG Level 4 code","native"
6,"HONOO","TDWG Level 4 code","native"
7,"VENOO","TDWG Level 4 code","native"
8,"84","TDWG Level 4 code","native"
9,"PEROO","TDWG Level 4 code","native"
9,"HONOO","TDWG Level 4 code","native"
9,"BLZOO","TDWG Level 4 code","native"
9,"CLMOO","TDWG Level 4 code","native"
9,"ECUOO","TDWG Level 4 code","native"
9,"BOLOO","TDWG Level 4 code","native"
9,"79","TDWG Level 4 code","native"
9,"COSOO","TDWG Level 4 code","native"
9,"PANOO","TDWG Level 4 code","native"
9,"84","TDWG Level 4 code","native"
10,"84","TDWG Level 4 code","native"
11,"79","TDWG Level 4 code","native"
11,"BLZOO","TDWG Level 4 code","native"
11,"CLMOO","TDWG Level 4 code","native"
11,"COSOO","TDWG Level 4 code","native"
11,"PANOO","TDWG Level 4 code","native"
12,"BLZOO","TDWG Level 4 code","native"
12,"CLMOO","TDWG Level 4 code","native"
12,"PANOO","TDWG Level 4 code","native"
12,"ECUOO","TDWG Level 4 code","native"
13,"84","TDWG Level 4 code","native"
14,"84","TDWG Level 4 code","native"
15,"84","TDWG Level 4 code","native"
16,"84","TDWG Level 4 code","native"
17,"PEROO","TDWG Level 4 code","native"
17,"CLMOO","TDWG Level 4 code","native"
17,"ECUOO","TDWG Level 4 code","native"
17,"84","TDWG Level 4 code","native"
17,"BOLOO","TDWG Level 4 code","native"
18,"84","TDWG Level 4 code","native"
18,"FRGOO","TDWG Level 4 code","native"
18,"VENOO","TDWG Level 4 code","native"
18,"BOLOO","TDWG Level 4 code","native"
18,"SUROO","TDWG Level 4 code","native"
19,"84","TDWG Level 4 code","native"
19,"FRGOO","TDWG Level 4 code","native"
20,"FRGOO","TDWG Level 4 code","native"
20,"SUROO","TDWG Level 4 code","native"
20,"PANOO","TDWG Level 4 code","native"
20,"84","TDWG Level 4 code","native"
21,"84","TDWG Level 4 code","native"
22,"84","TDWG Level 4 code","native"
23,"84","TDWG Level 4 code","native"
23,"ECUOO","TDWG Level 4 code","native"
23,"PEROO","TDWG Level 4 code","native"
24,"PEROO","TDWG Level 4 code","native"
24,"CLMOO","TDWG Level 4 code","native"
24,"ECUOO","TDWG Level 4 code","native"
24,"TRTOO","TDWG Level 4 code","native"
24,"BOLOO","TDWG Level 4 code","native"
24,"PAROO","TDWG Level 4 code","native"
24,"COSOO","TDWG Level 4 code","native"
24,"PANOO","TDWG Level 4 code","native"
24,"84","TDWG Level 4 code","native"
24,"FRGOO","TDWG Level 4 code","native"
