"ReferenceID","Authors","Year","Title","Details"
1,"Ristorcelli A. & Van ty D.",1941,"III. Phlébotomes d'une région de Colombie où la verruga du Pérou est devenue endémique depuis deux ou trois ans (Seconde note).","Annales de Parasitologie humaine et comparée, 18(4): 251-269."
2,"Mangabeira Fo O.",1941,"2ª Contribuição ao estudo dos Flebotomus. Flebotomus edwardsi n.sp. (Diptera, Psychodidae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 36(2): 201-213."
3,"Mangabeira Fo O.",1941,"3ª Contribuição ao estudo dos Flebotomus. Evandromyia n.subg. (Diptera, Psychodidae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 36(2): 215-223."
5,"Mangabeira Fo O.",1941,"4ª Contribuição ao estudo dos Flebotomus. Psychodopygus n.subg. (Diptera, Psychodidae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 36(3): 237-250."
6,"Mangabeira Fo O.",1941,"5ª Contribuição ao estudo dos Flebotomus. Viannamyia n.subg. (Diptera, Psychodidae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 36(3): 251-262."
7,"Mangabeira Fo O.",1941,"6ª Contribuição ao estudo dos Flebotomus. Flebotomus (Pintomyia) damascenoi n.sp. (Diptera, Psychodidae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 36(3): 369-377."
8,"Mangabeira Fo O.",1942,"7ª Contribuição ao estudo dos Flebotomus. Descrição dos machos de 24 novas espécies (Diptera, Psychodidae).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 37(2): 111-218."
10,"Mangabeira Fo O.",1942,"8ª Contribuição ao estudo dos Flebotomus. (Diptera, Psychodidae). Flebotomus (Brumptomyia) avellari Costa Lima, 1932.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 37(2): 225-240."
13,"Mangabeira Fo O.",1942,"9ª Contribuição ao estudo dos Flebotomus. (Diptera, Psychodidae). Flebotomus (Pressatia) triacanthus (Mangabeira, 1942).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 37(3): 241-250."
14,"Mangabeira Fo O.",1942,"10ª Contribuição ao estudo dos Flebotomus. (Diptera, Psychodidae). Flebotomus longispinus (Mangabeira, 1942).","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 37(3): 251-257."
15,"Mangabeira Fo O.",1942,"11ª Contribuição ao estudo dos Flebotomus. (Diptera, Psychodidae), Flebotomus oswaldoi Mangabeira, 1942.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 37: 287-295."
16,"Mangabeira Fo O.",1942,"12ª Contribuição ao estudo dos Flebotomus. (Diptera, Psychodidae) : Flebotomus nordestinus n.sp.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 37(3): 327-331."
17,"Mangabeira Fo O.",1942,"13ª Contribuição ao estudo dos Flebotomus. (Diptera, Psychodidae) : Flebotomus (Brumptomyia) travassosi Mangabeira, 1942.","Memórias do Instituto Oswaldo Cruz, (Rio de Janeiro), 37(3): 375-381."
18,"Knab F.",1913,"A new American Phlebotomus (Diptera, Psychodidae).","Insecutor Inscitiae Menstruus, 1(1): 135-137."
21,"Fairchild G. B.",1949,"A new fly related to Phlebotomus from Panama (Diptera, Psychodidae).","Proceedings of the Entomological Society of Washington, 51(2): 81-84."
