"ID","AcceptedTaxonID","Genus","SubGenusName","Species","AuthorString","InfraSpecies","InfraSpecificMarker","InfraSpecificAuthorString","GSDNameStatus","Sp2000NameStatus","GSDNameGUI"
358,35,"Phlebotomus","Pintomyia","gorbitzi","","",,"","original combination, valid: No","Unambiguous Synonym",
61,1,"Phlebotomus","","avellari","","",,"","original combination, valid: No","Unambiguous Synonym",
117,3,"Brumptomyia","","bragai","","",,"","original combination, valid: No","Unambiguous Synonym",
144,5,"Phlebotomus","","cardosoi","","",,"","original combination, valid: No","Unambiguous Synonym",
236,6,"Flebotomus","","cunhai","","",,"","original combination, valid: No","Unambiguous Synonym",
255,7,"Phlebotomus","Brumptomyia","devenanzii","","",,"","original combination, valid: No","Unambiguous Synonym",
313,8,"Brumptomyia","","figueiredoi","","",,"","original combination, valid: No","Unambiguous Synonym",
365,10,"Phlebotomus","","guimaraesi","","",,"","original combination, valid: No","Unambiguous Synonym",
373,11,"Phlebotomus","Brumptomyia","hamatus","","",,"","original combination, valid: No","Unambiguous Synonym",
432,12,"Phlebotomus","Brumptomyia","leopoldoi","","",,"","original combination, valid: No","Unambiguous Synonym",
466,13,"Phlebotomus","","mangabeirai","","",,"","original combination, valid: No","Unambiguous Synonym",
519,14,"Phlebotomus","","nitzulescui","","",,"","original combination, valid: No","Unambiguous Synonym",
554,15,"Brumptomyia","","orlandoi","","",,"","original combination, valid: No","Unambiguous Synonym",
556,16,"Brumptomyia","","ortizi","","",,"","original combination, valid: No","Unambiguous Synonym",
591,17,"Flebotomus","","pentacanthus","","",,"","original combination, valid: No","Unambiguous Synonym",
780,20,"Flebotomus","","travassosi","","",,"","original combination, valid: No","Unambiguous Synonym",
793,21,"Phlebotomus","","troglodytes","","",,"","original combination, valid: No","Unambiguous Synonym",
827,22,"Brumptomyia","","virgensi","","",,"","original combination, valid: No","Unambiguous Synonym",
4,23,"Lutzomyia","","abunaensis","1965","",,"","original combination, valid: No","Unambiguous Synonym",
75,25,"Flebotomus","","barrettoi","","",,"","original combination, valid: No","Unambiguous Synonym",
148,28,"Phlebotomus","","carpenteri","","",,"","original combination, valid: No","Unambiguous Synonym",
221,29,"Flebotomus","","coutinhoi","","",,"","original combination, valid: No","Unambiguous Synonym",
397,30,"Phlebotomus","","inflatus","","",,"","original combination, valid: No","Unambiguous Synonym",
673,32,"Phlebotomus","","runoides","","",,"","original combination, valid: No","Unambiguous Synonym",
767,33,"Phlebotomus","","texanus","","",,"","original combination, valid: No","Unambiguous Synonym",
73,34,"Flebotomus","","baityi","","",,"","original combination, valid: No","Unambiguous Synonym",
506,36,"Lutzomyia","","moucheti","","",,"","original combination, valid: No","Unambiguous Synonym",
43,37,"Phlebotomus","","aquilonius","","",,"","original combination, valid: No","Unambiguous Synonym",
249,39,"Phlebotomus","","deleoni","","",,"","original combination, valid: No","Unambiguous Synonym",
416,41,"Phlebotomus","","isovespertilionis","","",,"","original combination, valid: No","Unambiguous Synonym",
750,42,"Phlebotomus","","steatopygus","","",,"","original combination, valid: No","Unambiguous Synonym",
816,43,"Phlebotomus","","vesiciferus","","",,"","original combination, valid: No","Unambiguous Synonym",
817,44,"Phlebotomus","","vespertilionis","","",,"","original combination, valid: No","Unambiguous Synonym",
830,45,"Phlebotomus","","viriosus","","",,"","original combination, valid: No","Unambiguous Synonym",
34,47,"Phlebotomus","Dampfomyia","anthophorus","","",,"","original combination, valid: No","Unambiguous Synonym",
56,48,"Phlebotomus","Anthophorus","atulapai","","",,"","original combination, valid: No","Unambiguous Synonym",
266,49,"Phlebotomus","Dampfomyia","dodgei","","",,"","original combination, valid: No","Unambiguous Synonym",
406,50,"Phlebotomus","","insolitus","","",,"","original combination, valid: No","Unambiguous Synonym",
595,51,"Phlebotomus","","permirus","","",,"","original combination, valid: No","Unambiguous Synonym",
664,52,"Phlebotomus","Anthophorus","rosabali","","",,"","original combination, valid: No","Unambiguous Synonym",
248,53,"Phlebotomus","","del-pozoi","","",,"","original combination, valid: No","Unambiguous Synonym",
413,54,"Phlebotomus","","inusitatus","","",,"","original combination, valid: No","Unambiguous Synonym",
613,55,"Phlebotomus","Anthophorus","piedra-ferroi","","",,"","original combination, valid: No","Unambiguous Synonym",
11,56,"Phlebotomus","","aclydiferus","","",,"","original combination, valid: No","Unambiguous Synonym",
269,57,"Flebotomus","","dreisbachi","","",,"","original combination, valid: No","Unambiguous Synonym",
380,58,"Lutzomyia","","hermanlenti","","",,"","original combination, valid: No","Unambiguous Synonym",
675,59,"Lutzomyia","","ruparupa","","",,"","original combination, valid: No","Unambiguous Synonym",
84,60,"Phlebotomus","Evandromyia","begonae","","",,"","original combination, valid: No","Unambiguous Synonym",
108,61,"Phlebotomus","","bourrouli","","",,"","original combination, valid: No","Unambiguous Synonym",
116,62,"Flebotomus","Evandromyia","brachyphallus","","",,"","original combination, valid: No","Unambiguous Synonym",
182,63,"Flebotomus","","cerqueirai","","",,"","original combination, valid: No","Unambiguous Synonym",
400,64,"Flebotomus","Evandromyia","infraspinosus","","",,"","original combination, valid: No","Unambiguous Synonym",
500,66,"Phlebotomus","","monstruosus","","",,"","original combination, valid: No","Unambiguous Synonym",
107,72,"Phlebotomus","","botellus","","",,"","original combination, valid: No","Unambiguous Synonym",
179,74,"Phlebotomus","","ceferinoi","","",,"","original combination, valid: No","Unambiguous Synonym",
198,75,"Lutzomyia","","cirrita","","",,"","original combination, valid: No","Unambiguous Synonym",
292,76,"Phlebotomus","Peruensis","erwindonaldoi","","",,"","original combination, valid: No","Unambiguous Synonym",
378,77,"Phlebotomus","","hartmanni","","",,"","original combination, valid: No","Unambiguous Synonym",
393,78,"Phlebotomus","","imperatrix","","",,"","original combination, valid: No","Unambiguous Synonym",
522,80,"Phlebotomus","Brumptomyia","noguchii","","",,"","original combination, valid: No","Unambiguous Synonym",
596,83,"Phlebotomus","Brumptomyia","peruensis","","",,"","original combination, valid: No","Unambiguous Synonym",
598,84,"Phlebotomus","","pescei","","",,"","original combination, valid: No","Unambiguous Synonym",
687,85,"Phlebotomus","","sanguinarius","","",,"","original combination, valid: No","Unambiguous Synonym",
695,86,"Phlebotomus","","scorzai","","",,"","original combination, valid: No","Unambiguous Synonym",
751,87,"Phlebotomus","","stewarti","","",,"","original combination, valid: No","Unambiguous Synonym",
759,89,"Lutzomyia","","tejadai","","",,"","original combination, valid: No","Unambiguous Synonym",
774,90,"Lutzomyia","","tortura","","",,"","original combination, valid: No","Unambiguous Synonym",
807,91,"Lutzomyia","","valderramai","","",,"","original combination, valid: No","Unambiguous Synonym",
809,92,"Phlebotomus","","vargasi","","",,"","original combination, valid: No","Unambiguous Synonym",
819,93,"Flebotomus","","vexator","","",,"","original combination, valid: No","Unambiguous Synonym",
261,95,"Flebotomus","","digitatum","","",,"","original combination, valid: No","Unambiguous Synonym",
585,97,"Phlebotomus","","pelloni","","",,"","original combination, valid: No","Unambiguous Synonym",
19,99,"Phlebotomus","","amarali","","",,"","original combination, valid: No","Unambiguous Synonym",
46,100,"Lutzomyia","","araracuarensis","","",,"","original combination, valid: No","Unambiguous Synonym",
79,101,"Phlebotomus","","battistinii","","",,"","original combination, valid: No","Unambiguous Synonym",
96,102,"Phlebotomus","","bicornutus","","",,"","original combination, valid: No","Unambiguous Synonym",
133,104,"Lutzomyia","","caligata","","",,"","original combination, valid: No","Unambiguous Synonym",
154,105,"Flebotomus","","carvalhoi","","",,"","original combination, valid: No","Unambiguous Synonym",
158,106,"Phlebotomus","","castroi","","",,"","original combination, valid: No","Unambiguous Synonym",
162,107,"Phlebotomus","","cavernicolus","","",,"","original combination, valid: No","Unambiguous Synonym",
230,110,"Flebotomus","","cruzi","","",,"","original combination, valid: No","Unambiguous Synonym",
257,111,"Phlebotomus","Brumptomyia","diabolicus","","",,"","original combination, valid: No","Unambiguous Synonym",
297,113,"Lutzomyia","","evangelistai","","",,"","original combination, valid: No","Unambiguous Synonym",
319,114,"Lutzomyia","","flabellata","","",,"","original combination, valid: No","Unambiguous Synonym",
1227,116,"Phlebotomus","Lutziomyia","gaminarai","","",,"","original combination, valid: No","Unambiguous Synonym",
345,117,"Lutzomyia","","gasparviannai","","",,"","original combination, valid: No","Unambiguous Synonym",
355,118,"Phlebotomus","","gomezi","","",,"","original combination, valid: No","Unambiguous Synonym",
436,121,"Phlebotomus","","lichyi","","",,"","original combination, valid: No","Unambiguous Synonym",
706,125,"Lutzomyia","","sherlocki","","",,"","original combination, valid: No","Unambiguous Synonym",
55,128,"Phlebotomus","","atroclavatus","","",,"","original combination, valid: No","Unambiguous Synonym",
132,129,"Phlebotomus","","californicus","","",,"","original combination, valid: No","Unambiguous Synonym",
164,130,"Lutzomyia","","cayennensis braci","","",,"","original combination, valid: No","Unambiguous Synonym",
167,132,"Lutzomyia","","cayennensis cruzi","","",,"","original combination, valid: No","Unambiguous Synonym",
169,133,"Phlebotomus","","cayennensis hispaniolae","","",,"","original combination, valid: No","Unambiguous Synonym",
171,134,"Phlebotomus","","cayennensis jamaicensis","","",,"","original combination, valid: No","Unambiguous Synonym",
173,135,"Phlebotomus","","cayennensis maciasi","","",,"","original combination, valid: No","Unambiguous Synonym",
175,136,"Phlebotomus","","cayennensis puertoricensis","","",,"","original combination, valid: No","Unambiguous Synonym",
177,137,"Phlebotomus","","cayennensis viequesensis","","",,"","original combination, valid: No","Unambiguous Synonym",
233,139,"Phlebotomus","","ctenidophorus","","",,"","original combination, valid: No","Unambiguous Synonym",
234,140,"Phlebotomus","","cubensis","","",,"","original combination, valid: No","Unambiguous Synonym",
276,141,"Phlebotomus","","duppyorum","","",,"","original combination, valid: No","Unambiguous Synonym",
278,142,"Phlebotomus","","durani","","",,"","original combination, valid: No","Unambiguous Synonym",
307,143,"Phlebotomus","","farilli","","",,"","original combination, valid: No","Unambiguous Synonym",
375,144,"Phlebotomus","","hardisoni","","",,"","original combination, valid: No","Unambiguous Synonym",
433,145,"Lutzomyia","","lewisi","","",,"","original combination, valid: No","Unambiguous Synonym",
495,147,"Flebotomus","","minasensis","","",,"","original combination, valid: No","Unambiguous Synonym",
537,148,"Lutzomyia","","oliveirai","","",,"","original combination, valid: No","Unambiguous Synonym",
637,149,"Phlebotomus","","quadrispinosus","","",,"","original combination, valid: No","Unambiguous Synonym",
811,151,"Phlebotomus","","venezuelensis","","",,"","original combination, valid: No","Unambiguous Synonym",
847,152,"Phlebotomus","","wirthi","","",,"","original combination, valid: No","Unambiguous Synonym",
852,153,"Phlebotomus","","yencanensis","","",,"","original combination, valid: No","Unambiguous Synonym",
25,154,"Lutzomyia","","andersoni","","",,"","original combination, valid: No","Unambiguous Synonym",
69,155,"Lutzomyia","","baculus","","",,"","original combination, valid: No","Unambiguous Synonym",
136,157,"Lutzomyia","","callipygus","","",,"","original combination, valid: No","Unambiguous Synonym",
147,158,"Lutzomyia","Walkeri","carmelinoi","","",,"","original combination, valid: No","Unambiguous Synonym",
213,159,"Phlebotomus","","cortelezzii","","",,"","original combination, valid: No","Unambiguous Synonym",
217,160,"Lutzomyia","Complexo cortelezzii","corumbaensis","","",,"","original combination, valid: No","Unambiguous Synonym",
219,161,"Flebotomus","Castromyia","costalimai","","",,"","original combination, valid: No","Unambiguous Synonym",
272,162,"Phlebotomus","","dubitans","","",,"","original combination, valid: No","Unambiguous Synonym",
284,163,"Flebotomus","","edwardsi","","",,"","original combination, valid: No","Unambiguous Synonym",
295,164,"Phlebotomus","","evandroi","","",,"","original combination, valid: No","Unambiguous Synonym",
315,165,"Sergentomyia","","firmatoi","","",,"","original combination, valid: No","Unambiguous Synonym",
359,166,"Lutzomyia","","gruta","","",,"","original combination, valid: No","Unambiguous Synonym",
425,167,"Flebotomus","","lenti","","",,"","original combination, valid: No","Unambiguous Synonym",
492,168,"Phlebotomus","","migonei","","",,"","original combination, valid: No","Unambiguous Synonym",
567,169,"Phlebotomus","","pacae","","",,"","original combination, valid: No","Unambiguous Synonym",
608,170,"Lutzomyia","Barrettomyia","petropolitana","","",,"","original combination, valid: No","Unambiguous Synonym",
681,171,"Phlebotomus","","sallesi","","",,"","original combination, valid: No","Unambiguous Synonym",
697,172,"Phlebotomus","","sericeus","","",,"","original combination, valid: No","Unambiguous Synonym",
798,174,"Flebotomus","Castromyia","typynambai","","",,"","original combination, valid: No","Unambiguous Synonym",
835,175,"Phlebotomus","","walkeri","","",,"","original combination, valid: No","Unambiguous Synonym",
843,176,"Flebotomus","","williamsi","","",,"","original combination, valid: No","Unambiguous Synonym",
850,177,"Lutzomyia","","xerophila","","",,"","original combination, valid: No","Unambiguous Synonym",
8,178,"Lutzomyia","","acanthopharynx","","",,"","original combination, valid: No","Unambiguous Synonym",
102,179,"Lutzomyia","","boliviana","","",,"","original combination, valid: No","Unambiguous Synonym",
123,180,"Lutzomyia","","brisolai","","",,"","original combination, valid: No","Unambiguous Synonym",
127,181,"Phlebotomus","","bursiformis","","",,"","original combination, valid: No","Unambiguous Synonym",
391,182,"Lutzomyia","","ignacioi","","",,"","original combination, valid: No","Unambiguous Synonym",
496,183,"Flebotomus","","misionensis","","",,"","original combination, valid: No","Unambiguous Synonym",
535,185,"Lutzomyia","","oligodonta","","",,"","original combination, valid: No","Unambiguous Synonym",
624,186,"Phlebotomus","","pius","","",,"","original combination, valid: No","Unambiguous Synonym",
625,187,"Lutzomyia","","ponsi","","",,"","original combination, valid: No","Unambiguous Synonym",
684,189,"Phlebotomus","","samueli","","",,"","original combination, valid: No","Unambiguous Synonym",
771,190,"Lutzomyia","","torrealbai","","",,"","original combination, valid: No","Unambiguous Synonym",
35,192,"Flebotomus","","antunesi","","",,"","original combination, valid: No","Unambiguous Synonym",
283,194,"Phlebotomus","","edentulous","","",,"","original combination, valid: No","Unambiguous Synonym",
323,195,"Flebotomus","","flaviscutellatus","","",,"","original combination, valid: No","Unambiguous Synonym",
382,196,"Phlebotomus","","hernandezi","","",,"","original combination, valid: No","Unambiguous Synonym",
540,199,"Lutzomyia","","olmeca bicolor","","",,"","original combination, valid: No","Unambiguous Synonym",
1212,205,"Phlebotomus","","sylvicolus","","",,"","original combination, valid: No","Unambiguous Synonym",
778,206,"Phlebotomus","","trapidoi","","",,"","original combination, valid: No","Unambiguous Synonym",
801,207,"Lutzomyia","","umbratilis","","",,"","original combination, valid: No","Unambiguous Synonym",
840,209,"Flebotomus","","whitmani","","",,"","original combination, valid: No","Unambiguous Synonym",
862,211,"Lutzomyia","","yuilli pajoti","","",,"","original combination, valid: No","Unambiguous Synonym",
861,212,"Lutzomyia","Nyssomyia","yuilli","","",,"","original combination, valid: No","Unambiguous Synonym",
18,213,"Flebotomus","","alphabeticus","","",,"","original combination, valid: No","Unambiguous Synonym",
104,215,"Lutzomyia","Helcocyrtomyia","borgmeieri","","",,"","original combination, valid: No","Unambiguous Synonym",
122,216,"Phlebotomus","","breviductus","","",,"","original combination, valid: No","Unambiguous Synonym",
141,217,"Lutzomyia","Helcocyrtomyia","capixaba","","",,"","original combination, valid: No","Unambiguous Synonym",
310,218,"Sergentomyia","","ferreirana","","",,"","original combination, valid: No","Unambiguous Synonym",
353,219,"Lutzomyia","","goiana","","",,"","original combination, valid: No","Unambiguous Synonym",
450,220,"Flebotomus","","longipennis","","",,"","original combination, valid: No","Unambiguous Synonym",
462,221,"Lutzomyia","Helcocyrtomyia","machupicchu","","",,"","original combination, valid: No","Unambiguous Synonym",
627,224,"Phlebotomus","","pratti","","",,"","original combination, valid: No","Unambiguous Synonym",
634,225,"Lutzomyia","Helcocyrtomyia","pusilla","","",,"","original combination, valid: No","Unambiguous Synonym",
639,226,"Lutzomyia","Helcocyrtomyia","quechua","","",,"","original combination, valid: No","Unambiguous Synonym",
644,228,"Lutzomyia","","ramirezi","","",,"","original combination, valid: No","Unambiguous Synonym",
662,229,"Phlebotomus","","rorotaensis","","",,"","original combination, valid: No","Unambiguous Synonym",
869,232,"Phlebotomus","","zikani","","",,"","original combination, valid: No","Unambiguous Synonym",
529,233,"Lutzomyia","","nuneztovari anglesi","","",,"","original combination, valid: No","Unambiguous Synonym",
186,234,"Phlebotomus","","chassigneti","","",,"","original combination, valid: No","Unambiguous Synonym",
468,235,"Lutzomyia","","mangabeirana","","",,"","original combination, valid: No","Unambiguous Synonym",
