"AcceptedTaxonID","CommonName","TransliteratedName","Country","Area","Language","ReferenceID"
864,"Two lined Spittlebug",,"Southern America","8","English",2094
899,"Weinbergs-Butzikade",,"Germany","GEROO","German",2146
933,"Binden-Blutzikade",,"Germany","GEROO","German",2146
939,"Gemeine Blutzikade",,"Germany","GEROO","German",2146
939,"cercope sanguinolent",,"France","FRAFR","French",2148
952,"Kiefern-Blutzikade",,"Germany","GEROO","German",2146
2251,"Wanst-Schaumzikade",,"Germany","GEROO","German",2146
2399,"cicadelle écumeuse",,"France","FRAFR","French",2148
2432,"Kiefern-Schaumzikade",,"Germany","GEROO","German",2146
2523,"Erlen-Schaumzikade",,"Germany","GEROO","German",2146
2524,"Wiesen-Schaumzikade",,"Germany","GEROO","German",2146
2524,"Meadow Spittlebug",,"","","English",2164
2677,"Zwenken-Schaumzikade",,"Germany","GEROO","German",2146
2933,"Alpen-Schaumzikade",,"Germany","GEROO","German",2146
2935,"Braune Weiden-Schaumzikade",,"Germany","GEROO","German",2146
2937,"Feld-Schaumzikade",,"Germany","GEROO","German",2146
2939,"Gras-Schaumzikade",,"Germany","GEROO","German",2146
2940,"Zwerg-Schaumzikade",,"Germany","GEROO","German",2146
2959,"Bunte Weiden-Schaumzikade",,"Germany","GEROO","German",2146
