"ID","Reference Type","ReferenceID"
343,"TaxAccRef",1703
349,"TaxAccRef",1703
354,"TaxAccRef",127
356,"TaxAccRef",1814
358,"TaxAccRef",5
359,"TaxAccRef",1710
360,"TaxAccRef",1710
361,"TaxAccRef",1092
362,"TaxAccRef",1718
363,"TaxAccRef",1704
364,"TaxAccRef",1814
365,"TaxAccRef",1703
369,"TaxAccRef",1716
370,"TaxAccRef",1716
371,"TaxAccRef",557
372,"TaxAccRef",1830
373,"TaxAccRef",1711
374,"TaxAccRef",1829
380,"TaxAccRef",1712
383,"TaxAccRef",1706
384,"TaxAccRef",87
385,"TaxAccRef",1713
387,"TaxAccRef",1708
388,"TaxAccRef",1710
390,"TaxAccRef",1832
392,"TaxAccRef",1710
393,"TaxAccRef",1707
394,"TaxAccRef",1715
395,"TaxAccRef",8
396,"TaxAccRef",1833
397,"TaxAccRef",525
399,"TaxAccRef",1823
400,"TaxAccRef",1717
401,"TaxAccRef",752
402,"TaxAccRef",1715
403,"TaxAccRef",1825
404,"TaxAccRef",1706
405,"TaxAccRef",1832
409,"TaxAccRef",1703
411,"TaxAccRef",511
413,"TaxAccRef",8
414,"TaxAccRef",1832
416,"TaxAccRef",1834
418,"TaxAccRef",113
419,"TaxAccRef",1717
420,"TaxAccRef",1838
421,"TaxAccRef",8
436,"TaxAccRef",1710
439,"TaxAccRef",108
440,"TaxAccRef",1716
441,"TaxAccRef",490
442,"TaxAccRef",1841
443,"TaxAccRef",557
444,"TaxAccRef",1782
445,"TaxAccRef",1760
446,"TaxAccRef",557
447,"TaxAccRef",1711
448,"TaxAccRef",818
449,"TaxAccRef",1846
450,"TaxAccRef",1851
451,"TaxAccRef",557
452,"TaxAccRef",1802
453,"TaxAccRef",1715
454,"TaxAccRef",8
455,"TaxAccRef",1716
456,"TaxAccRef",1719
457,"TaxAccRef",689
458,"TaxAccRef",1114
459,"TaxAccRef",1114
460,"TaxAccRef",1733
461,"TaxAccRef",8
462,"TaxAccRef",1720
463,"TaxAccRef",1114
464,"TaxAccRef",1722
465,"TaxAccRef",1852
467,"TaxAccRef",1768
468,"TaxAccRef",704
469,"TaxAccRef",1725
470,"TaxAccRef",689
471,"TaxAccRef",1725
472,"TaxAccRef",1853
473,"TaxAccRef",1854
474,"TaxAccRef",1846
475,"TaxAccRef",1855
476,"TaxAccRef",1754
477,"TaxAccRef",4
478,"TaxAccRef",530
479,"TaxAccRef",1754
480,"TaxAccRef",1856
481,"TaxAccRef",557
482,"TaxAccRef",557
483,"TaxAccRef",1857
484,"TaxAccRef",1754
485,"TaxAccRef",1756
486,"TaxAccRef",1858
487,"TaxAccRef",1756
488,"TaxAccRef",1718
489,"TaxAccRef",1856
490,"TaxAccRef",370
491,"TaxAccRef",1756
492,"TaxAccRef",1855
493,"TaxAccRef",1214
494,"TaxAccRef",1716
495,"TaxAccRef",1754
496,"TaxAccRef",1756
497,"TaxAccRef",1855
498,"TaxAccRef",1859
499,"TaxAccRef",1756
500,"TaxAccRef",719
501,"TaxAccRef",1733
502,"TaxAccRef",425
503,"TaxAccRef",1104
504,"TaxAccRef",1103
505,"TaxAccRef",1756
506,"TaxAccRef",1861
507,"TaxAccRef",1857
508,"TaxAccRef",557
509,"TaxAccRef",1241
511,"TaxAccRef",1860
512,"TaxAccRef",1733
513,"TaxAccRef",1718
514,"TaxAccRef",715
515,"TaxAccRef",1754
516,"TaxAccRef",1754
517,"TaxAccRef",1863
518,"TaxAccRef",1756
519,"TaxAccRef",1733
520,"TaxAccRef",793
521,"TaxAccRef",740
522,"TaxAccRef",1857
523,"TaxAccRef",1733
524,"TaxAccRef",1791
525,"TaxAccRef",1797
526,"TaxAccRef",1756
527,"TaxAccRef",1754
528,"TaxAccRef",1170
529,"TaxAccRef",1756
530,"TaxAccRef",1103
531,"TaxAccRef",1856
532,"TaxAccRef",1864
533,"TaxAccRef",1718
534,"TaxAccRef",1733
535,"TaxAccRef",4
536,"TaxAccRef",715
537,"TaxAccRef",1857
538,"TaxAccRef",1754
539,"TaxAccRef",111
540,"TaxAccRef",818
541,"TaxAccRef",557
542,"TaxAccRef",1863
543,"TaxAccRef",1865
544,"TaxAccRef",1856
545,"TaxAccRef",1754
546,"TaxAccRef",1754
547,"TaxAccRef",1718
548,"TaxAccRef",1857
549,"TaxAccRef",958
550,"TaxAccRef",1860
551,"TaxAccRef",1791
552,"TaxAccRef",1856
553,"TaxAccRef",1170
554,"TaxAccRef",370
555,"TaxAccRef",1738
556,"TaxAccRef",1855
557,"TaxAccRef",793
558,"TaxAccRef",1733
559,"TaxAccRef",890
560,"TaxAccRef",87
561,"TaxAccRef",392
562,"TaxAccRef",1726
563,"TaxAccRef",490
564,"TaxAccRef",1868
565,"TaxAccRef",576
567,"TaxAccRef",1783
569,"TaxAccRef",1739
570,"TaxAccRef",1737
571,"TaxAccRef",1726
572,"TaxAccRef",1726
573,"TaxAccRef",1324
574,"TaxAccRef",1729
575,"TaxAccRef",1726
576,"TaxAccRef",1868
577,"TaxAccRef",1324
578,"TaxAccRef",1726
581,"TaxAccRef",1729
582,"TaxAccRef",1729
583,"TaxAccRef",1726
584,"TaxAccRef",1873
585,"TaxAccRef",1728
586,"TaxAccRef",1733
587,"TaxAccRef",490
588,"TaxAccRef",490
589,"TaxAccRef",1726
590,"TaxAccRef",557
591,"TaxAccRef",1726
592,"TaxAccRef",818
594,"TaxAccRef",1726
596,"TaxAccRef",576
599,"TaxAccRef",1726
600,"TaxAccRef",557
601,"TaxAccRef",1737
602,"TaxAccRef",1727
603,"TaxAccRef",1727
604,"TaxAccRef",1728
605,"TaxAccRef",1728
606,"TaxAccRef",557
611,"TaxAccRef",437
