"AcceptedTaxonID","ParentSpeciesID","InfraSpeciesEpithet","InfraSpeciesAuthorString","InfraSpeciesMarker","GSDNameStatus","Sp2000NameStatus","IsExtinct","HasPreHolocene","HasModern","LifeZone","AdditionalData","LTSSpecialist","LTSDate","InfraSpeciesURL","GSDTaxonGUI","GSDNameGUI"
1167,305,"minor","Crawford, 1912",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=1288",,
2343,1506,"kincaidi","(Ashmead, 1904)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=2851",,
2923,2421,"alaica","Bajeva, 1978",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=4067",,
2929,232,"maculipennis","Uichanco, 1921",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=4096",,
2930,232,"setifera","Crawford, 1913",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=2945",,
3484,3483,"minor","Kandasamy, 1986",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=5035",,
3503,1408,"devia","Loginova, 1976",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=5058",,
3504,1408,"insularis","Loginova, 1976",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=5059",,
3752,846,"tenuicornis","Crawford, 1925",,"original combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=5524",,
4064,4029,"indistincta","(Tuthill, 1952)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=5933",,
4398,191,"pubescens","(Crawford, 1925)",,"new combination, valid: Yes","Accepted name",0,0,1,"terrestrial",,"Ouvrard David","15/01/2015",http://www.hemiptera-databases.com/psyllist?lang=en&card=name&id=6486",,
