"ID","Reference Type","ReferenceID"
62,"TaxAccRef",10
64,"TaxAccRef",46
70,"TaxAccRef",19
74,"TaxAccRef",25
75,"TaxAccRef",49
76,"TaxAccRef",14
78,"TaxAccRef",16
79,"TaxAccRef",50
83,"TaxAccRef",23
84,"TaxAccRef",52
85,"TaxAccRef",10
86,"TaxAccRef",25
87,"TaxAccRef",19
88,"TaxAccRef",18
89,"TaxAccRef",53
90,"TaxAccRef",25
91,"TaxAccRef",54
92,"TaxAccRef",18
93,"TaxAccRef",25
94,"TaxAccRef",19
95,"TaxAccRef",19
96,"TaxAccRef",28
104,"TaxAccRef",23
105,"TaxAccRef",21
106,"TaxAccRef",16
107,"TaxAccRef",16
108,"TaxAccRef",23
109,"TaxAccRef",57
110,"TaxAccRef",58
111,"TaxAccRef",40
112,"TaxAccRef",58
113,"TaxAccRef",59
114,"TaxAccRef",49
115,"TaxAccRef",47
116,"TaxAccRef",60
117,"TaxAccRef",49
118,"TaxAccRef",25
185,"TaxAccRef",10
186,"TaxAccRef",22
187,"TaxAccRef",95
188,"TaxAccRef",96
189,"TaxAccRef",97
190,"TaxAccRef",32
191,"TaxAccRef",18
192,"TaxAccRef",54
193,"TaxAccRef",22
194,"TaxAccRef",16
195,"TaxAccRef",16
196,"TaxAccRef",23
198,"TaxAccRef",23
199,"TaxAccRef",23
200,"TaxAccRef",49
201,"TaxAccRef",98
202,"TaxAccRef",19
203,"TaxAccRef",99
204,"TaxAccRef",20
205,"TaxAccRef",32
208,"TaxAccRef",19
210,"TaxAccRef",100
211,"TaxAccRef",100
212,"TaxAccRef",100
213,"TaxAccRef",25
214,"TaxAccRef",34
215,"TaxAccRef",53
216,"TaxAccRef",94
217,"TaxAccRef",101
218,"TaxAccRef",25
222,"TaxAccRef",102
227,"TaxAccRef",48
229,"TaxAccRef",103
232,"TaxAccRef",18
233,"TaxAccRef",104
234,"TaxAccRef",105
236,"TaxAccRef",38
237,"TaxAccRef",23
241,"TaxAccRef",49
244,"TaxAccRef",32
246,"TaxAccRef",32
247,"TaxAccRef",25
248,"TaxAccRef",19
251,"TaxAccRef",47
252,"TaxAccRef",19
253,"TaxAccRef",47
258,"TaxAccRef",19
260,"TaxAccRef",19
261,"TaxAccRef",19
263,"TaxAccRef",106
264,"TaxAccRef",25
273,"TaxAccRef",19
274,"TaxAccRef",26
275,"TaxAccRef",101
277,"TaxAccRef",23
278,"TaxAccRef",23
280,"TaxAccRef",25
288,"TaxAccRef",45
291,"TaxAccRef",19
292,"TaxAccRef",20
293,"TaxAccRef",11
294,"TaxAccRef",11
295,"TaxAccRef",111
296,"TaxAccRef",32
297,"TaxAccRef",10
298,"TaxAccRef",26
300,"TaxAccRef",33
302,"TaxAccRef",96
