"ReferenceID","Authors","Year","Title","Details"
1351,"Kieffer J.  J.",1897,"Nachtrag zu den Zoocecidien Lothringens","Berliner Entomologische Zeitschrift, 42(1-2): 17-24."
721,"Heslop-Harrison G.",1961,"Critical genera of the Ciriacreminae (Hemiptera: Homoptera: Psyllidae). -II:  the genus <i>Mastigimas</i> Enderlein","Annals and Magazine of Natural History, 13(3): 551-559."
1115,"Burckhardt D., Cuda J. P., Manrique V., Diaz R., Overholt W. A., Williams D. A., Christ L. R. & Vitorino M. D.",2011,"<i>Calophya latiforceps</i>, a New Species of Jumping Plant Lice (Hemiptera: Calophyidae) Associated with <i>Schinus terebinthifolius</i> (Anacardiaceae) in Brazil","Florida entomologist, 94(3): 489-499."
1352,"Jarausch B., Schwind N., Fuchs A. & Jarausch W.",2012,"Characteristics of the Spread of Apple Proliferation by Its Vector <i>Cacopsylla picta</i>","Phytopathology, 101(12): 1471-1480."
1353,"Nachappa P., Shapiro A. A. & Tamborindeguy C.",2012,"Effect of '<i>Candidatus</i> Liberibacter solanacearum' on Fitness of Its Insect Vector, <i>Bactericera cockerelli</i> (Hemiptera: Triozidae), on Tomato","Phytopathology, 102(1): 41-46."
1354,"Mayer C. J., Vilcinskas A. & Gross J.",2011,"Chemically mediated multitrophic interactions in a plant-insect vector-phytoplasma system compared with a partially nonvector species","Agricultural and Forest Entomology, 13(1): 25-35."
1355,"Mayer C. J., Jarausch B., Jarausch W., Jelkmann W., Vilcinskas A. & Gross J.",2009,"<i>Cacopsylla melanoneura</i> has no relevance as vector of apple proliferation in Germany","Phytopathology, 99(6): 729-738."
914,"Redei D. & Penzes B.",2006,"First occurrence of <i>Acizzia jamatonica</i> (Kuwayama, 1908) (Sternorrhyncha: Psyllidae: Acizziinae) in Hungary","Novenyvedelem, 42: 153-157."
1356,"Tokuda M., Matsuo K. & Yukawa J.",2012,"Insect galls found on Miyakejima and Hachijojima, the Izu Islands, Tokyo, Japan","Esakia, 52: 59-66."
1357,"Butler C. D., Byrne F. J., Keremane M. L., Lee R. F. & Trumble J. T.",2011,"Effects of Insecticides on Behavior of Adult <i>Bactericera cockerelli</i> (Hemiptera: Triozidae) and Transmission of <i>Candidatus</i> Liberibacter psyllaurous","Journal of Economic Entomology, 104(2): 586-594."
1358,"Butler C. D., Walker G. P. & Trumble J. T.",2012,"Feeding disruption of potato psyllid, <i>Bactericera cockerelli</i>, by imidacloprid as measured by electrical penetration graphs","Entomologia Experimentalis et Applicata, 142(3): 247-257."
1359,"Kang A. R., Baek J. Y., Lee S. H., Cho Y. S., Kim W. S., Han Y. S. & Kim I.",2012,"Geographic homogeneity and high gene flow of the pear psylla, <i>Cacopsylla pyricola</i> (Hemiptera: Psyllidae), detected by mitochondrial COI gene and nuclear ribosomal internal transcribed spacer 2","Animal Cells and Systems, 16(2): 145-153."
1360,"Mifsud D. & Porcelli F.",2012,"The psyllid <i>Macrohomotoma gladiata</i> Kuwayama, 1908 (Hemiptera: Psylloidea: Homotomidae): a <i>Ficus</i> pest recently introduced in the EPPO region","Bulletin OEPP/EPPO Bulletin, 42(1): 161-164."
1361,"Takahashi R.",1936,"Food habits and new habitats of Formosan Psyllidae, with notes on the peculiar food habits of Formosan phytophagous insects","Kontyû, 10(6): 291-296."
111,"Kuwayama Sa.",1943,"On some species of Psyllidae from Amami-Osima and Yakusima","Transactions of the Natural History Society of Taiwan, 33: 504-511."
461,"Moore K. M.",1964,"Observations on some Australian forest insects.18. Four new species of <i>Glycaspis</i> (Homoptera: Psyllidae) from Queensland","Proceedings of the Linnean Society of New South Wales, 89: 163-166."
1362,"Oliveira K. N., De Jesus F. M., Silva J. O., Espírito-Santo M. M. & Faria M. L.",2012,"An experimental test of rainfall as a control agent of <i>Glycaspis brimblecombei</i> Moore (Hemiptera, Psyllidae) on seedlings of <i>Eucalyptus camaldulensis</i> Dehn (Myrtaceae)","Revista Brasileira de Entomologia, 56(1): 101-105."
1363,"Martini X., Seibert S., Prager S. M. & Nansen C.",2012,"Sampling and interpretation of psyllid nymph counts in potatoes","Entomologia Experimentalis et Applicata, 143(2): 103-110."
1364,"Tedeschi R., Baldessari M., Mazzoni V., Trona F. & Angeli G.",2012,"Population Dynamics of <i>Cacopsylla melanoneura</i> (Hemiptera: Psyllidae) in Northeast Italy and Its Role in the Apple Proliferation Epidemiology in Apple Orchards","Journal of Economic Entomology, 105(2): 322-328."
