"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
72,"84","TDWG Level 4 code","native"
73,"ALGOO","TDWG Level 4 code","native"
73,"CYPOO","TDWG Level 4 code","native"
73,"GRCOO","TDWG Level 4 code","native"
73,"ITAIT","TDWG Level 4 code","native"
73,"SICMA","TDWG Level 4 code","native"
73,"PALIS","TDWG Level 4 code","native"
73,"CNYOO","TDWG Level 4 code","native"
73,"FRAFR","TDWG Level 4 code","native"
73,"EGYOO","TDWG Level 4 code","native"
73,"MORMO","TDWG Level 4 code","native"
73,"TUNOO","TDWG Level 4 code","native"
73,"LBYOO","TDWG Level 4 code","native"
73,"SPASP","TDWG Level 4 code","native"
73,"LBSSY","TDWG Level 4 code","native"
73,"TUROO","TDWG Level 4 code","native"
73,"LBSLB","TDWG Level 4 code","native"
74,"ZAIOO","TDWG Level 4 code","native"
75,"ALGOO","TDWG Level 4 code","native"
75,"CYPOO","TDWG Level 4 code","native"
75,"GRCOO","TDWG Level 4 code","native"
75,"ITAIT","TDWG Level 4 code","native"
75,"SICMA","TDWG Level 4 code","native"
75,"SUDOO","TDWG Level 4 code","native"
75,"PALIS","TDWG Level 4 code","native"
75,"FRAFR","TDWG Level 4 code","native"
75,"EGYOO","TDWG Level 4 code","native"
75,"MORMO","TDWG Level 4 code","native"
75,"TUNOO","TDWG Level 4 code","native"
75,"LBYOO","TDWG Level 4 code","native"
75,"SPASP","TDWG Level 4 code","native"
75,"LBSSY","TDWG Level 4 code","native"
75,"TUROO","TDWG Level 4 code","native"
75,"LBSLB","TDWG Level 4 code","native"
76,"WAU","TDWG Level 4 code","native"
77,"ITAIT","TDWG Level 4 code","native"
78,"36","TDWG Level 4 code","native"
79,"MONOO","TDWG Level 4 code","native"
80,"KAZOO","TDWG Level 4 code","native"
81,"SAUOO","TDWG Level 4 code","native"
82,"MDGOO","TDWG Level 4 code","native"
83,"ETHOO","TDWG Level 4 code","native"
83,"WINDO","TDWG Level 4 code","native"
83,"UGAOO","TDWG Level 4 code","native"
83,"RWAOO","TDWG Level 4 code","native"
83,"TANOO","TDWG Level 4 code","native"
84,"IND","TDWG Level 4 code","native"
85,"79","TDWG Level 4 code","native"
86,"ONTOO","TDWG Level 4 code","native"
87,"GEOOO","TDWG Level 4 code","native"
87,"KTYOO","TDWG Level 4 code","native"
89,"BORSB","TDWG Level 4 code","native"
89,"BORSB,BORSR,MLYPM","TDWG Level 4 code","native"
90,"CONOO","TDWG Level 4 code","native"
91,"50","TDWG Level 4 code","native"
92,"ZIMOO","TDWG Level 4 code","native"
93,"ARIOO","TDWG Level 4 code","native"
93,"KANOO","TDWG Level 4 code","native"
93,"OKLOO","TDWG Level 4 code","native"
93,"MSIOO","TDWG Level 4 code","native"
93,"ALAOO","TDWG Level 4 code","native"
93,"KTYOO","TDWG Level 4 code","native"
93,"FLAOO","TDWG Level 4 code","native"
93,"GEOOO","TDWG Level 4 code","native"
93,"TEXOO","TDWG Level 4 code","native"
93,"LOUOO","TDWG Level 4 code","native"
93,"79","TDWG Level 4 code","native"
93,"NWMOO","TDWG Level 4 code","native"
94,"ANGOO","TDWG Level 4 code","native"
95,"ANGOO","TDWG Level 4 code","native"
96,"ANGOO","TDWG Level 4 code","native"
