"ID","Reference Type","ReferenceID"
72,"TaxAccRef",196
73,"TaxAccRef",162
74,"TaxAccRef",116
75,"TaxAccRef",47
76,"TaxAccRef",130
77,"TaxAccRef",182
78,"TaxAccRef",150
79,"TaxAccRef",109
80,"TaxAccRef",146
81,"TaxAccRef",117
82,"TaxAccRef",208
83,"TaxAccRef",8
84,"TaxAccRef",6
85,"TaxAccRef",22
86,"TaxAccRef",110
87,"TaxAccRef",222
89,"TaxAccRef",85
90,"TaxAccRef",143
91,"TaxAccRef",64
92,"TaxAccRef",63
93,"TaxAccRef",164
94,"TaxAccRef",133
95,"TaxAccRef",133
96,"TaxAccRef",133
97,"TaxAccRef",135
98,"TaxAccRef",139
99,"TaxAccRef",64
100,"TaxAccRef",64
101,"TaxAccRef",64
102,"TaxAccRef",64
103,"TaxAccRef",64
104,"TaxAccRef",64
105,"TaxAccRef",64
106,"TaxAccRef",133
107,"TaxAccRef",284
108,"TaxAccRef",143
109,"TaxAccRef",190
110,"TaxAccRef",147
111,"TaxAccRef",290
112,"TaxAccRef",10
113,"TaxAccRef",54
114,"TaxAccRef",41
115,"TaxAccRef",12
116,"TaxAccRef",12
117,"TaxAccRef",12
119,"TaxAccRef",157
121,"TaxAccRef",134
122,"TaxAccRef",159
123,"TaxAccRef",32
124,"TaxAccRef",32
125,"TaxAccRef",32
126,"TaxAccRef",32
127,"TaxAccRef",32
128,"TaxAccRef",20
129,"TaxAccRef",70
130,"TaxAccRef",69
131,"TaxAccRef",70
132,"TaxAccRef",48
133,"TaxAccRef",12
134,"TaxAccRef",12
135,"TaxAccRef",133
137,"TaxAccRef",133
138,"TaxAccRef",133
139,"TaxAccRef",133
140,"TaxAccRef",133
141,"TaxAccRef",133
142,"TaxAccRef",133
143,"TaxAccRef",134
144,"TaxAccRef",134
145,"TaxAccRef",134
146,"TaxAccRef",134
147,"TaxAccRef",32
148,"TaxAccRef",32
149,"TaxAccRef",135
150,"TaxAccRef",136
152,"TaxAccRef",139
153,"TaxAccRef",139
154,"TaxAccRef",85
155,"TaxAccRef",87
156,"TaxAccRef",65
157,"TaxAccRef",70
158,"TaxAccRef",70
159,"TaxAccRef",69
160,"TaxAccRef",69
161,"TaxAccRef",81
162,"TaxAccRef",81
163,"TaxAccRef",164
164,"TaxAccRef",133
165,"TaxAccRef",12
166,"TaxAccRef",12
167,"TaxAccRef",12
168,"TaxAccRef",12
169,"TaxAccRef",12
170,"TaxAccRef",133
171,"TaxAccRef",133
172,"TaxAccRef",135
173,"TaxAccRef",135
174,"TaxAccRef",85
175,"TaxAccRef",70
176,"TaxAccRef",70
177,"TaxAccRef",252
178,"TaxAccRef",210
179,"TaxAccRef",305
180,"TaxAccRef",278
181,"TaxAccRef",263
182,"TaxAccRef",178
183,"TaxAccRef",164
184,"TaxAccRef",164
185,"TaxAccRef",164
186,"TaxAccRef",164
187,"TaxAccRef",164
188,"TaxAccRef",164
189,"TaxAccRef",164
190,"TaxAccRef",164
191,"TaxAccRef",164
192,"TaxAccRef",164
193,"TaxAccRef",164
194,"TaxAccRef",164
196,"TaxAccRef",164
197,"TaxAccRef",164
198,"TaxAccRef",164
199,"TaxAccRef",164
200,"TaxAccRef",164
201,"TaxAccRef",164
202,"TaxAccRef",164
203,"TaxAccRef",164
204,"TaxAccRef",164
205,"TaxAccRef",164
206,"TaxAccRef",165
207,"TaxAccRef",165
208,"TaxAccRef",165
209,"TaxAccRef",277
210,"TaxAccRef",277
211,"TaxAccRef",168
212,"TaxAccRef",168
213,"TaxAccRef",168
214,"TaxAccRef",168
215,"TaxAccRef",277
216,"TaxAccRef",168
217,"TaxAccRef",168
218,"TaxAccRef",168
219,"TaxAccRef",168
220,"TaxAccRef",277
221,"TaxAccRef",168
222,"TaxAccRef",277
223,"TaxAccRef",216
224,"TaxAccRef",266
225,"TaxAccRef",217
226,"TaxAccRef",287
227,"TaxAccRef",306
228,"TaxAccRef",301
229,"TaxAccRef",301
230,"TaxAccRef",301
231,"TaxAccRef",301
232,"TaxAccRef",302
233,"TaxAccRef",302
234,"TaxAccRef",302
236,"TaxAccRef",302
237,"TaxAccRef",219
238,"TaxAccRef",10
239,"TaxAccRef",271
240,"TaxAccRef",271
241,"TaxAccRef",271
242,"TaxAccRef",275
243,"TaxAccRef",246
244,"TaxAccRef",258
245,"TaxAccRef",146
246,"TaxAccRef",202
247,"TaxAccRef",259
248,"TaxAccRef",259
249,"TaxAccRef",259
250,"TaxAccRef",259
251,"TaxAccRef",259
252,"TaxAccRef",259
253,"TaxAccRef",259
254,"TaxAccRef",259
255,"TaxAccRef",259
256,"TaxAccRef",259
257,"TaxAccRef",259
258,"TaxAccRef",259
259,"TaxAccRef",259
260,"TaxAccRef",259
261,"TaxAccRef",259
262,"TaxAccRef",259
263,"TaxAccRef",300
264,"TaxAccRef",300
265,"TaxAccRef",112
266,"TaxAccRef",285
267,"TaxAccRef",10
268,"TaxAccRef",249
269,"TaxAccRef",279
270,"TaxAccRef",164
271,"TaxAccRef",168
272,"TaxAccRef",267
273,"TaxAccRef",168
274,"TaxAccRef",248
275,"TaxAccRef",307
277,"TaxAccRef",163
278,"TaxAccRef",164
279,"TaxAccRef",164
280,"TaxAccRef",164
281,"TaxAccRef",165
282,"TaxAccRef",165
283,"TaxAccRef",277
284,"TaxAccRef",277
285,"TaxAccRef",267
286,"TaxAccRef",219
287,"TaxAccRef",158
288,"TaxAccRef",260
289,"TaxAccRef",235
290,"TaxAccRef",235
291,"TaxAccRef",235
292,"TaxAccRef",235
293,"TaxAccRef",112
294,"TaxAccRef",10
295,"TaxAccRef",200
296,"TaxAccRef",53
297,"TaxAccRef",53
298,"TaxAccRef",283
299,"TaxAccRef",123
300,"TaxAccRef",204
301,"TaxAccRef",204
302,"TaxAccRef",164
303,"TaxAccRef",164
304,"TaxAccRef",165
305,"TaxAccRef",220
306,"TaxAccRef",203
307,"TaxAccRef",203
308,"TaxAccRef",203
310,"TaxAccRef",272
311,"TaxAccRef",272
312,"TaxAccRef",276
313,"TaxAccRef",298
314,"TaxAccRef",56
315,"TaxAccRef",114
316,"TaxAccRef",229
317,"TaxAccRef",286
318,"TaxAccRef",286
319,"TaxAccRef",178
320,"TaxAccRef",178
321,"TaxAccRef",164
322,"TaxAccRef",164
323,"TaxAccRef",164
324,"TaxAccRef",164
325,"TaxAccRef",165
326,"TaxAccRef",165
327,"TaxAccRef",165
328,"TaxAccRef",165
329,"TaxAccRef",165
330,"TaxAccRef",165
331,"TaxAccRef",168
332,"TaxAccRef",203
333,"TaxAccRef",330
334,"TaxAccRef",261
335,"TaxAccRef",212
336,"TaxAccRef",272
337,"TaxAccRef",132
338,"TaxAccRef",133
339,"TaxAccRef",294
340,"TaxAccRef",257
341,"TaxAccRef",298
342,"TaxAccRef",295
343,"TaxAccRef",258
344,"TaxAccRef",114
345,"TaxAccRef",250
346,"TaxAccRef",142
347,"TaxAccRef",230
349,"TaxAccRef",211
350,"TaxAccRef",296
351,"TaxAccRef",178
352,"TaxAccRef",163
353,"TaxAccRef",163
354,"TaxAccRef",164
355,"TaxAccRef",164
356,"TaxAccRef",165
357,"TaxAccRef",165
359,"TaxAccRef",203
360,"TaxAccRef",203
361,"TaxAccRef",203
362,"TaxAccRef",203
363,"TaxAccRef",203
364,"TaxAccRef",203
365,"TaxAccRef",154
366,"TaxAccRef",272
367,"TaxAccRef",272
368,"TaxAccRef",273
369,"TaxAccRef",274
370,"TaxAccRef",275
371,"TaxAccRef",293
372,"TaxAccRef",294
373,"TaxAccRef",294
374,"TaxAccRef",133
375,"TaxAccRef",294
376,"TaxAccRef",157
377,"TaxAccRef",294
