"ReferenceID","Authors","Year","Title","Details"
335,"Abdul-Nour H.",2001,"Les Strepsipteres du Liban: inventaire raisonne et desciption d' Halictophagus macrostelesi n.sp. (Strepsiptera, Halictophagus)","Bulletin de la Societe Entomologique de France, 106(1): 39-42."
337,"Kathirithamby J.",2012,"An unusual occurrence of multiple parasitism by two genera of Strepsiptera (Inseta) in a mano leafhopper, Idioscopus clypealis (Lethierry) (Hemiptera: Cicadellidae) in the Philippines.","Zootaxa, 3268: 16-28."
336,"Kathirithamby J., McMahon D. P., Anober-Lantican G. M. & Ocampo V. R",2012,"An unusual occurrence of multiparasitism by two genera of Strepsiptera (Insecta) in a mango leafhopper, Idioscopus clypealis (Leathierry) (Hemiptera: Cicadellidae) in the Philippines ","Zootaxa, 3268: 16-28."
338,"Reeves  & Cook ",2005,"First record of Triozocera vernalis Pierce and Brailovsky (Strepsiptera: Corioxenidae) from the United States, with additional records for Strepsiptera in Sout Carolina ","Entomological News, 116(3): 191-192."
339,"Pierce W. D.",1918,"Comparative morphology of the Strepsiptera","Proceedings of the United States National Museum, 54(2242): 391-501."
340,"Khalaf K. T.",1969,"Strepsiptera from the Mississippi Coast ","Florida Entomologist, 52(1): 53."
341,"Drew Drew & Allwood A. J.",1996,"Seasonal abduance, distribution, host and taxonomic placement of Dipterophagus daci Drew & Allwood (Strepsiptera: Dipterophagidae.  ","Australian Entomologist, 23(2): 61-72."
342,"Westwood J. O.",1836,"Description of a new strepsipterous insect recently discovered in the island of Mauritius. ","Transactions of the Royal Entomological Society of London, 1(1): 173-174."
343,"Santis L. & Sureda A. E. G.",1993,"Una nueva especie de Strepsiptera de Chile y dos nuevos registros para la insectofauna de l Republica Argentina (Embioptera y Thysanoptera).","Revista Chilena Entomologia, 30: 61-63."
344,"Peck S. B. & Peck J.",1989,"Elechus koebeli (Pierce) (Elenchidae): first record of Strepsiptera from the Galapagos Islands, Ecuador","Coleopterists Bulletin, 43(2): 203-204."
345,"Trois C. A. C.",1988,"Revista Brasileira de Zoologia","Revista Brasileira de Zoologia, 5(3): 465-477."
346,"Luna de Carvalho E.",1990,"Novos dados de Esterpsipteros de Republica de Cabo Verde (Coleopteroides: Strepsiptera: Corioxenidae, Elecnhidae e Halictophagidae).","Elytron, 4: 203-210."
85,"Kifune T.",1981,"Records of the Strepsiptera from West Malaysia, with descriptions of a new genus Malayaxenos and five new species (Notulae Strepsipterologicae-VII)","Kontyû, Tokyo, 49(2): 322-333."
347,"Luna de Carvalho E.",2006,"Segunda contricuicaco para o estudo dos Estrepsipteros da Guine-Bissau (Insecta: Strepsiptera)","Boletim da Sociedade Portuguese de Entomologia, 8(2): 14-18."
348,"Kathirithamby J., Hayward A., McMahon D. P., Ferreira R. S., Andreazze R., Almeida Andrade H. T. & Fresneau D.",2009,"Conspecifics of a heretotrophic heteronomous species of Strepsiptera (Insecta) are matched by molecular characterization","Systematic Entomology, 35: 234-242."
128,"Kogan M. & Oliveira S. J.",1964,"New Guinean Mengeidae and Myrmecolacidae of the American Museum of Natural History (Strepsiptera)","Studia Entomologica, 7(1-4): 459-470."
349,"Kifune T., Tadauchi O. & Lee C. E.",1994,"Records of the Strepsiptera parasitic on the Korean Apoidea (Notulae Strepsipterologicae-XXII)","Esakia, 34: 209-214."
350,"Maxumdar A. & Chaudhuti P. K.",1999,"Strepsiptera insects of the genus Tridactylophagus Subramaniam from India (Strepsiptera): Halictophagidae) ","Journal of South Asian Natural History, 4(1): 13-17."
351,"Kinzelbach R. K.",1978,"Strepsiptera","1: 166 pp. Veb Gustav Fisher Verlag Jena."
352,"Abdul-Nour H.",2002,"Une nouvelle espece de Strepsiptere du Senegal: Triozocera couturieri n. sp. (Strepsiptera, Corioxenidae)","Bulletin de la Societe Entomologique de France, 107(2): 201-202."
353,"Khalaf K. T.",1967,"The seasonal incidence of free Strepsiptera (Insecta) males in Southern Louisiana","The American Midland Naturalist, 80(2): 565-568."
354,"Jones D, Williams M. L. & Jones G",1979,"Records of Strepsiptera in Alabama","Journal of the Georgian Entomological Society, 15: 404-406."
355,"Kathirithamby J.",1994,"Strepsiptera of South Florida and the Bahamas with the description of a new genus and new species of Corioxenidae","Canadian Entomologist, 126: 125-134."
356,"Kathirithamby J & Taylor S. J.",2007,"New state record and northeastern range extension for Caenocholax fenyesi sensu lato (Strepsiptera : Myrmecolacidae)","Florida Entomologist, 90(4): 762-763."
357,"Kathirithamby J., Taylor S. J. & Longino J. T.",2009,"New host record for Caenocholax fenyesi sensu lato (Strepsiptera: Myrmecolacidae) from Costa Rica","Pan-Pacific Entomologist, 85(1): 8-10."
358,"Cook J. L.",2009,"New host associations, distribution and morphological varioation in Caenocholax fenyesi (Strepsiptera: Myrmecolacidae) ","Proceedings of the Entomological Society of Washington, 111(2): 370-377."
359,"Cook J. L., Calcaterra L. A & Nunez L.",2004,"Firdt record of Caenocholax fenyesi (Strepsiptera: Myrmecolacidae) parasitizing Solenopsis invicta (Hymenoptera: Formicidae in Argentina, with a discuccion o its distribution and host range.","Entomology News, 115(2): 61-66."
360,"Luna de Carvalho E",1981,"Premiere contribution a l'etude des Strepsiptere de la Guyane francaise (Strepsiptera)","Revue Francaise d'Entomologie Nouvelle, 3: 46-48."
361,"Kathirithamby J & Hendrickx H",2008,"First record of the Strepsiptera genus Caenocholax in Baltic amber with the description of a new species","Pegea, 36(4): 149-155."
362,"Kinzelbach R. K. & Pohl H",1994,"The fossil Strepsiptera (Insecta:Strepsiptera)","Entomological Society of America, 87(1): 59-70."
363,"Kathirithamby J.",2008,"Strepsiptera (Insecta) from Mexico-a review","Vedalia, 126: 103-118."
364,"Kathirithamby J",2009,"Host papasitoid associations in Strepsiptera","Annual Review of Entomology, 54: 227-249."
62,"Jones D., Williams M. L. & Jones G.",1980,"Records of Strepsiptera in Alabama","Journal of the Georgian Entomological Society, 15: 404-406."
63,"Kathirithamby J.",1989,"Review of the order Strepsiptera","Systematic Entomology, 14: 41-92."
168,"Pierce W. D.",1918,"The comparative morphology of the order Strepsiptera together with records and descriptions of insects","Proceedings of the United States National Museum, 54: 391-501."
224,"Kathirithamby J., Hayward A., McMahon D. P., Andreazze R., Tadeu de Almeida Andrade H., Ferreira R. S. & Fresneau D.",2010,"Conspecifics of a sexually dimorphic, heterotrophic heteronomous species of Strepsiptera (Insecta) are matched by molecular characterization","Systematic Entomology, 35: 234-242."
218,"Hofeneder K.",1926,"Zwei neue Strepsipteren aus Marokko Teil I.","Bulletin de la Société des Sciences Naturelles du Maroc, 6: 56-64."
288,"Schultze W.",1925,"Macroxenos piercei (Order Strepsiptera), a New genus and species of wasp parasites of the Philippine Islands","Phillippine Journal of Science, 27: 235-241."
290,"Silvestri F.",1939,"Strepsipterum species nova ex Congo Belgico","Bulletin du Muée Royal d’Histoire Naturelle de Belgique, 15: 1-4."
310,"Heyden L. Von",1867,"Exotische Xenos-Arten","Berliner. Ent. Z, 11: 398."
327,"Kifune T. & Yamane S.",1985,"Two new species of the genus Paraxenos (Strepsiptera, Stylopidae) and records of stylopized Sphecidae and Eumenidae (Hymenoptera) from Ryukus, Japan ","Kontyû, Tokyo, 53(1): 49-58."
311,"Noskiewicz J. & Poluszynski G.",1935,"Embryologische Untersuchungen an Strepsipteren. II. Teil. polyembryonie","Zool. Pol., 1: 53-94."
253,"Kogan M.",1958,"A new species of the genus Triozocera Pierce from Brazil (Mengeidae, Strepsiptera)","Studia Entomologica, 1: 421-426."
262,"Nassonov N. V.",1910,"Untersuchungen zur Naturgeshichte der Strepsipteren Aus dem Russuschen üubersetzt von Alenander v. Sipiagin. Mit Anmerkingen und einem kritischen Anhang über einige Ansichten meinerts betreffs der Anatomie des Weibehens hrsg. Von Karl Hofeneder, S. J.","Bericht des Naturwissenschaftlich-Medizinischen Vereins in Innsbruck, 33: 1-206."
1,"Abdul-Nour H.",1969,"Une nouvelle espèce de Strepsiptère parasite de Jassidae [Hom. Auch.] Halictophagus languedoci n. sp.","Annales Societé Entomologique de France, 5: 361-369."
3,"Abdul-Nour H.",1985,"Une nouvelle espèce de Strepsiptère au Liban: Halictophagus hayari, n. sp. (Strepsiptera, Halictophagidae)","Nouvelle Revue Entomologie, 2: 71-73."
4,"Ahlberg O.",1925,"Zikadenparasiten unter Strepsipteren und Hymenopteren. Beilage II zu A. Tullgren: Om Dvargstriten (Cicadula sexnotata Fall.) Meddr. 287","Centralanst. forsoksvas. Jordbruksonradet. Ent. Avd., 46: 79-82."
5,"Allwood A. J. & Drew R. A. I.",1996,"Seasonal abundance, distribution, hosts and taxonomic placement of Dipterophagus daci Drew & Allwood (Strepsiptera: Dipterophagidae)","Australian Entomologist, 23: 61-72."
6,"Baliga H.",1967,"A new species of Corioxenos (Stylopidea) parasitizing Antestiopsis cruciata (F.) Homoptera, Pentatomidae) in India","Bulletin of Entomological Research, 57: 387-393."
7,"Baumert D.",1959,"Mehrjährige Zuchten einheimischer Strepsipteren an Homopteren. 2. Hälfte. Imagines, Lebenszyklus und Artenbestimmung von Elenchus tenuicornis Kirby","Zoologische Beitäge, 4: 341-409."
8,"Blair K. G.",1936,"A new genus of Strepsiptera","Proceedings of the Royal Entomological Society of London (B), 5: 113-117."
9,"Bohart R. M.",1937,"A new genus and species of Strepsiptera from Canada","Pan-Pacific Entomologist, 13: 101-106."
10,"Bohart R. M.",1941,"A revision of the Strepsiptera with special reference to the species of North America","University California Publications in Entomology, 7: 91-160."
11,"Bohart R. M.",1943,"New species of Halictophagus with a key to the genus in North America (Strepsiptera: Halictophagidae)","Annals of the Entomological Society of America, 36: 341-359."
257,"Luna de Carvalho E.",1960,"Contribuição para o conhecimento dos Estrepípteros de Portugal","Memórias e Estudos do Museu Zoológico da Universidade de Coimbra, 236: 5-13."
180,"Silvestri F.",1939,"Recherches sur les insetces d’importance biologique à Madagascar (29 à 33)","Mémories de l'Institut Scientifique de Madagascar (Série E), 11: 1-16."
80,"Kathirithamby J. & Ponnamma V. K.",2000,"Halictophagus palmi sp. nov. parasitic in Proutista moesta (Westwood) a vector of phytoplasma of palms in India","Journal of South East Asian Natural History, 5: 101-105."
322,"Bohart R. M. & Irwin M. E.",1978,"A study of stylopization in the bee genus Dufourea","Pan-Pacific Entomologist, 54(2): 98-102."
318,"Kathirithamby J., Hatting J. L. & McMahon D. P.",2010,"First record and description of female Halictophagus calcaratus Pasteels (Strepsiptera: Insecta) from South Africa","African Entomology, 18(2): 322-327."
323,"Tribull C. M. & Cook J.",2011,"New species of Halictophagus from Madagascar (Strepsiptera: Halictophagidae), with a key ot males of African Halictophagus","Proceedings of the Entomological Society of Washington, 113(1): 71-76."
326,"Machita Y.",2006,"New records on the host and distrubutional locality of Halictoxenos evylaei Kifune (Strepsipotera, Stylopidae).","Chugoku Kontyu, 20: 29-30."
