"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
65,"MOLOO","TDWG Level 4 code","native"
66,"SUMOO","TDWG Level 4 code","native"
67,"SUMOO","TDWG Level 4 code","native"
68,"MOLOO","TDWG Level 4 code","native"
69,"BISOO","TDWG Level 4 code","native"
69,"SOLNO","TDWG Level 4 code","native"
69,"NWG","TDWG Level 4 code","native"
69,"MLYPM","TDWG Level 4 code","native"
69,"QLDQU","TDWG Level 4 code","native"
69,"SULOO","TDWG Level 4 code","native"
69,"MOLOO","TDWG Level 4 code","native"
69,"NWGIJ","TDWG Level 4 code","native"
70,"MOLOO","TDWG Level 4 code","native"
71,"NWG","TDWG Level 4 code","native"
72,"MOLOO","TDWG Level 4 code","native"
73,"NWG","TDWG Level 4 code","native"
74,"NWG","TDWG Level 4 code","native"
75,"NWG","TDWG Level 4 code","native"
76,"NWG","TDWG Level 4 code","native"
77,"MLYPM","TDWG Level 4 code","native"
77,"MYAOO","TDWG Level 4 code","native"
77,"SUMOO","TDWG Level 4 code","native"
78,"BOR","TDWG Level 4 code","native"
78,"BORSR","TDWG Level 4 code","native"
79,"MOLOO","TDWG Level 4 code","native"
80,"CHCGZ","TDWG Level 4 code","native"
80,"CHCYN","TDWG Level 4 code","native"
80,"CHSGX","TDWG Level 4 code","native"
81,"VIEOO","TDWG Level 4 code","native"
81,"CHCGZ","TDWG Level 4 code","native"
81,"INDMP","TDWG Level 4 code","native"
81,"INDUP","TDWG Level 4 code","native"
81,"INDGU","TDWG Level 4 code","native"
81,"INDRA","TDWG Level 4 code","native"
81,"BANOO","TDWG Level 4 code","native"
81,"INDDE","TDWG Level 4 code","native"
81,"PAKOO","TDWG Level 4 code","native"
81,"CHCYN","TDWG Level 4 code","native"
81,"INDBI","TDWG Level 4 code","native"
81,"ASS","TDWG Level 4 code","native"
81,"INDPU","TDWG Level 4 code","native"
81,"INDHA","TDWG Level 4 code","native"
81,"CHSGX","TDWG Level 4 code","native"
81,"CHSFJ","TDWG Level 4 code","native"
