"AcceptedTaxonID","DistributionElement","StandardInUse","DistributionStatus"
3,"QLDQU","TDWG Level 4 code","native"
4,"QLDQU","TDWG Level 4 code","native"
313,"26","TDWG Level 4 code","native"
313,"27","TDWG Level 4 code","native"
314,"IND","TDWG Level 4 code","native"
314,"SRLOO","TDWG Level 4 code","native"
315,"IND","TDWG Level 4 code","native"
316,"BORKA,JAWOO,LSIBA,LSILS,MOLOO,NWGIJ,SULOO,SUMOO","TDWG Level 4 code","native"
316,"TAIOO","TDWG Level 4 code","native"
317,"BOR","TDWG Level 4 code","native"
318,"30","TDWG Level 4 code","native"
318,"TUROO","TDWG Level 4 code","native"
319,"TUROO","TDWG Level 4 code","native"
320,"1","TDWG Level 4 code","native"
320,"ALGOO","TDWG Level 4 code","native"
321,"1","TDWG Level 4 code","native"
322,"FRAFR","TDWG Level 4 code","native"
322,"ROMOO","TDWG Level 4 code","native"
323,"CALOO","TDWG Level 4 code","native"
323,"MNTOO","TDWG Level 4 code","native"
323,"OREOO","TDWG Level 4 code","native"
324,"36","TDWG Level 4 code","native"
325,"IND","TDWG Level 4 code","native"
326,"NCAOO","TDWG Level 4 code","native"
326,"OHIOO","TDWG Level 4 code","native"
326,"TENOO","TDWG Level 4 code","native"
327,"30","TDWG Level 4 code","native"
328,"30","TDWG Level 4 code","native"
329,"FRAFR","TDWG Level 4 code","native"
330,"TAIOO","TDWG Level 4 code","native"
331,"1","TDWG Level 4 code","native"
333,"ALGOO","TDWG Level 4 code","native"
334,"FRAFR","TDWG Level 4 code","native"
335,"ALGOO","TDWG Level 4 code","native"
335,"SPASP","TDWG Level 4 code","native"
336,"ABTOO,BRCOO,LABOO,MANOO,NBROO,NFLNE,NSLOO,NUNOO,NWTOO,ONTOO,PEIOO,QUEOO,SASOO,YUKOO","TDWG Level 4 code","native"
336,"ALAOO,ALUOO,ARIOO,ARKOO,ASKOO,CALOO,CNTOO,COLOO,DELOO,FLAOO,GEOOO,IDAOO,ILLOO,INIOO,IOWOO,KANOO,KTYOO,LOUOO,MAIOO,MASOO,MICOO,MINOO,MNTOO,MRYOO,MSIOO,MSOOO,NCAOO,NDAOO,NEBOO,NEVOO,NWHOO,NWJOO,NWMOO,NWYOO,OHIOO,OKLOO,OREOO,PENOO,RHOOO,SCAOO,SDAOO,TENOO,TEXOO,UTAOO,VEROO,VRGOO,WASOO,WDCOO,WISOO,WVAOO,WYOOO,HAWHI","TDWG Level 4 code","native"
337,"79","TDWG Level 4 code","native"
338,"1","TDWG Level 4 code","native"
339,"79","TDWG Level 4 code","native"
340,"13","TDWG Level 4 code","native"
340,"14","TDWG Level 4 code","native"
340,"30","TDWG Level 4 code","native"
