"ReferenceID","Authors","Year","Title","Details"
26,"Drake C. J.",1961,"A New Genus and Species of Cantacaderine Lace-bug from the Philippines (Hemiptera: Tingidae)","Fieldiana (Zoology), 42: 115-118."
25,"Drake C. J. & Hambleton E. J.",1944,"Concerning Neotropical Tingitidae (Hemiptera)","Journal of the Washington Academy of Science, 34: 120-129."
27,"Drake C. J. & Ruhoff F. A.",1965,"Lacebugs from New Guinea, Borneo, Solomons, and Other Islands of the South Pacific and Indian Oceans (Hemiptera: Tingidae)","Pacific Insects, 7: 243-290."
28,"Drake C. J. & Poor M. E.",1937,"Concerning the Genus Leptobyrsa Stal (Hemiptera)","Proceedings of the Biological Society of Washington, 50: 163-166."
29,"Drake C. J. & Poor M. E.",1941,"Tingitidae from Amboina Island (Hemiptera)","Pan-Pacific Entomologist, 17: 160-165."
30,"Kirkaldy G. W.",1908,"A Catalogue of the Hemiptera of Fiji","Proceedings of the Linnean Society of New South Wales, 33: 345-391."
31,"Drake C. J.",1960,"Tingidae of New Guinea (Hemiptera)","Pacific Insects, 2: 339-380."
32,"China W. E.",1924,"The Hemiptera-Heteroptera of Rodriguez, Together with the Description of a New Species of Cicada from that Island","Annals and Magazine of Natural History (Ser. 7), 14: 427-453."
33,"Drake C. J.",1948,"New Genera and Species of Tingidae (Hemiptera). Proceedings of the Biological Society of Washington","Proceedings of the Biological Society of Washington, 61: 149-156."
34,"Drake C. J.",1956,"Insects of Micronesia; Hemiptera: Tingidae","Occasional Papers of Bernice P. Bishop Museum, Honolulu, Hawaii, 7: 101-116."
35,"Drake C. J. & Hambleton E. J.",1935,"New Brazilian Tingitidae (Hemiptera), Part II","Archivos do Instituto Biologico, 6: 141-154."
36,"Froeschner R. C.",1969,"Zoogeographic and Systematic Notes on the Lace Bug Tribe Litadeini, with the Description of the New Genus Stragulotingis (Hemiptera: Tingidae)","Great Basin Naturalist, 29: 129-132."
37,"Linnavuori R.",1977,"Hemiptera of the Sudan, with Remarks on Some Species of the Adjacent Countries, 5: Tingidae, Piesmidae, Cydnidae, Thaumastellidae and Plataspidae","Acta Zoologica Fennica, 147: 1-81."
38,"Drake C. J.",1961,"Some Australian Tingidae (Hemiptera), Including New Genera and Species","Records of the Australian Museum, 25: 107-113."
39,"Spinola M.",1837,"Essai sur les genres d'insects appurtenants a I'ordre des Hemipteres, Lin. ou Rhyngotes, Fab., et a la section des Heteropteres, Dufour.","383 pp. Yves Graviers, Genève."
40," ",1942,"New Tingitidae (Hemiptera)","Iowa State College Journal of Science, 17: 1-21."
41,"Drake C. J.",1945,"New Tingidae (Hemiptera)","Bulletin of the Southern California Academy of Sciences, 44: 96-100."
42,"Drake C. J.",1947,"Tingidae (Hemiptera) from the Orient and South Pacific","Musee Heude, Notes d'Entomologie Chinoise, 11: 225-231."
2,"Horváth G.",1925,"Results of Dr. E. Mjöberg's Swedish Scientific Expeditions to Australia 1910–1913. 45. Tingitidae.","Arkiv för Zoologi, 17(24): 1-17."
3,"Drake C. J.",1952,"The Genus Parada Horvath (Hemiptera: Tingidae).","Psyche, 59: 143-147."
1,"Laporte F. L.",1833,"Essai d'une classification systematique de l'ordre des hemipteres (hemipteres heteropteres, Latr.). Magasin de Zoologie.","1: 2-88. Chez Lequien Fils, Libraire, 1833., Paris (France)."
4,"Drake C. J. & Ruhoff F. A.",1961,"New genera and new species of Lace-bugs from the eastern hemisphere (Hemiptera: Tingidae)","59 pp. Backhuys Biological Books, Kerkwerve (Netherlands)."
5,"Drake C. J.",1950,"Concerning the Cantacaderinae of the World (Hemiptera: Tingidae)","Arthropoda, 1: 153-166."
7,"Distant W. L.",1902,"Rhynchotal Miscellanea","Annals of the South African Museum, 2: 237-254."
10,"Froeschner R. C.",1968,"Notes on the Systematics and Morphology of the Lacebug Subfamily Cantacaderinae","Proceedings of the Entomological Society of Washington, 70: 245-254."
11,"Drake C. J. & Hambleton E. J.",1934,"Brazilian Tingitidae (Hemiptera), Part I","Revista de Entomologia. Rio de Janeiro, 4: 435-451."
12,"Bergroth E.",1898,"Eine neue Tingide","Wiener Entomologische Zeitung, 17: 9-9."
13,"Péricart J.",1981,"Quatre especes nouvelles de Cantacaderinae du Nord de l'lnde, représentant trois genres nouveaux (Hemiptera: Tingidae)","Revue Suisse de Zoologie, 88: 595-605."
9,"Péricart J.",1991,"Cantacaderinae de Thailande, Borneo et Palawan: Genres nouveaux, especes nouvelles ou interessantes ainsi qu'une nouvelle synonymie (Hemiptera, Tingidae)","Revue Suisse de Zoologie, 98: 33-50."
8,"Montandon A. L.",1892,"Hémiptères-Hétéropteres nouveaux","Revue d'Entomologie, 11: 265-273."
14,"Péricart J.",1983,"Deux Cantacaderinae nouveaux du Ne'pal de la tribu des Phatnomini (Hemiptera: Tingidae)","Revue Suisse de Zoologie, 90: 593-597."
15,"Distant W. L.",1904,"On the South African Tingididae and Other Heteropterous Rhynchota","Transactions of the South African Philosophical Society, 14: 425-436."
16,"Drake C. J.",1944,"Concerning the American Cantacaderinids (Hemiptera: Tingidae)","Boletin de Entomologia Venezolana, 3: 139-142."
17,"Barber H. G.",1954,"A Report on the Hemiptera-Heteroptera from the Bimini Islands, Bahamas, British West Indies","American Museum Novitates, 1682: 1-18."
18,"Drake C. J.",1951,"New Genera and Species of Tingidae (Hemiptera) in the Hungarian National Museum","Annales Historico-Naturales Musei Nationalis Hungarici, 1: 165-178."
19,"Stusak J. M.",1976,"A New Genus and Species of Cantacaderinae from Java (Heteroptera, Tingidae)","Acta Entomologica Bohemoslovaca, 73: 13-16."
20,"Fieber F. X.",1844,"Entomologische Monographien","138 pp. J.A. Barth., Leipzig (Germany)."
21,"Amyot C. J. B. & Serville M. J. G.",1843,"Histoire naturelle des insectes: Hémiptères","676 pp. Fain et Thunot, Paris (France)."
22,"Bergroth E.",1927,"Hemiptera Heteroptera from New Zealand","Transactions of the New Zealand Institute, 57: 671-684."
23,"Drake C. J.",1928,"New and Little Known Neotropical Tingitidae","Iowa State College Journal of Science, 3: 41-56."
24,"Blöte H. C.",1945,"Catalogue of the Berytidae, Piesmidae and Tingidae in the Rijksmuseum van Natuurlijke Historic","Zoologische Mededeelingen, 25: 72-92."
43,"Stål C.",1873,"Enumeratio Hemipterorum","Kungliga Svenska Vetenskapsakademiens Handlingar, 11(2): 1-163."
44,"Kormilev N. A.",1955,"A new myrmecophil family of Hemiptera from the delta of Río Paraná, Argentina","Revista ecuatoriana de entomologia y parasitologia, 2(3-4): 465-467."
45,"Lis B.",1999,"Phylogeny and classification of Cantacaderini [Can- tacaderidae stat. nov.] (Hemiptera: Tingoidea)","Annales Zoologici Warszawa, 49: 157-196."
